"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-4.174958332E-3,-3.842210083E0,1.015188904E0,6.801256714E0,7.877199992E0
5.851041642E-3,-3.253035278E0,2.108215942E0,7.270979919E0,8.239779243E0
1.587604161E-2,-3.097957764E0,2.425406342E0,7.276668091E0,8.272232875E0
2.590204158E-2,-3.628304901E0,1.731449432E0,7.525151367E0,8.531729994E0
3.592804167E-2,-3.005749512E0,1.610500946E0,7.185507660E0,7.953600679E0
4.595304164E-2,-2.979703674E0,1.300495605E0,6.530619507E0,7.295129468E0
5.597904162E-2,-3.614234161E0,1.639839935E0,6.380182343E0,7.513886498E0
6.600504159E-2,-3.499871979E0,1.864971771E0,6.682254181E0,7.770440432E0
7.603004167E-2,-3.513643341E0,1.388063507E0,7.547604675E0,8.440304862E0
8.605604165E-2,-3.913461914E0,1.357227631E0,7.684120789E0,8.729430868E0
9.608204162E-2,-4.517904968E0,1.749262390E0,8.128845978E0,9.463060876E0
1.061070416E-1,-4.529281311E0,2.138003998E0,8.582552490E0,9.937084962E0
1.161330417E-1,-5.089416504E0,2.002086639E0,8.763975220E0,1.033042946E1
1.261590417E-1,-5.150788879E0,2.520308990E0,8.523275757E0,1.027272180E1
1.361840416E-1,-5.128335571E0,2.396217041E0,8.785530396E0,1.045118300E1
1.462107500E-1,-5.377417603E0,9.930349731E-1,8.995843048E0,1.052748454E1
1.562357499E-1,-5.648054810E0,8.454418945E-1,9.012159119E0,1.066931615E1
1.662617499E-1,-5.003495178E0,2.339634705E0,9.565558319E0,1.104575758E1
1.762877500E-1,-4.598138123E0,2.756966858E0,9.209897919E0,1.065673309E1
1.863127500E-1,-5.503006439E0,1.892065430E0,8.811725922E0,1.055980611E1
1.963387500E-1,-6.085894318E0,1.325343933E0,8.582253113E0,1.060423098E1
2.063647499E-1,-6.338419189E0,1.121018829E0,8.538693695E0,1.069305995E1
2.163897500E-1,-5.826932831E0,1.440005493E0,7.874375153E0,9.901138625E0
2.264157500E-1,-5.511239319E0,1.849404144E0,7.782615967E0,9.714070506E0
2.364417500E-1,-6.220464478E0,1.765129395E0,6.210135956E0,8.965246716E0
2.464667499E-1,-6.361620941E0,1.015937347E0,7.328909454E0,9.757830880E0
2.564927500E-1,-5.340294800E0,3.582051086E-1,7.778424683E0,9.441978076E0
2.665187500E-1,-4.813689880E0,4.725672913E-1,7.737709351E0,9.125079512E0
2.765437500E-1,-4.592449951E0,5.038522339E-1,8.656498718E0,9.812208400E0
2.865697499E-1,-5.145100708E0,2.100132751E-1,8.566835175E0,9.995340503E0
2.965957499E-1,-5.059029694E0,4.998106384E-1,7.528743896E0,9.084358908E0
3.066207500E-1,-4.614903259E0,8.042774963E-1,6.712191925E0,8.185213181E0
3.166467500E-1,-4.243525543E0,7.325765991E-1,5.836662598E0,7.253330806E0
3.266727499E-1,-3.702400818E0,7.259902954E-1,4.720733185E0,6.043190840E0
