"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.126374980E-3,-7.939190369E0,-5.828878784E-1,-5.585185547E0,9.724443407E0
7.899624994E-3,-8.192763062E0,-2.915936279E-1,-5.721252594E0,9.996955770E0
1.792462496E-2,-8.295449524E0,-1.555265808E-1,-5.889203339E0,1.017454605E1
2.795062505E-2,-8.376281433E0,-8.726852417E-2,-5.946983185E0,1.027308695E1
3.797662503E-2,-8.547225952E0,-1.929487610E-1,-5.530399475E0,1.018222073E1
4.800162499E-2,-8.828191681E0,-4.650828552E-1,-4.697681122E0,1.001106779E1
5.802762497E-2,-8.933422852E0,-6.858737183E-1,-4.095333710E0,9.851305741E0
6.805262505E-2,-8.747958527E0,-7.587721252E-1,-4.033661957E0,9.662967572E0
7.807862503E-2,-8.393944702E0,-7.833210754E-1,-4.317471771E0,9.471666277E0
8.810462500E-2,-8.415948944E0,-8.466394043E-1,-4.483626251E0,9.573290932E0
9.812962497E-2,-8.635691986E0,-8.913963318E-1,-4.507426758E0,9.781955810E0
1.081556251E-1,-8.776998138E0,-9.300160217E-1,-4.415068817E0,9.868812430E0
1.181816250E-1,-8.760083313E0,-8.680448914E-1,-4.551884308E0,9.910207482E0
1.282066250E-1,-8.624016266E0,-8.125103760E-1,-4.646487579E0,9.829734304E0
1.382326250E-1,-8.477770386E0,-8.099656677E-1,-4.572541351E0,9.666269679E0
1.482576251E-1,-8.395591278E0,-8.348139954E-1,-4.569547577E0,9.594979540E0
1.582836250E-1,-8.416398010E0,-8.617579651E-1,-4.536017303E0,9.599678913E0
1.683096250E-1,-8.515791321E0,-8.411009216E-1,-4.307143250E0,9.580064486E0
1.783346250E-1,-8.620423737E0,-7.032376099E-1,-4.008663940E0,9.532871295E0
1.883606251E-1,-8.775950317E0,-4.872367859E-1,-3.816912689E0,9.582459295E0
1.983856250E-1,-9.046288147E0,-3.442840576E-1,-3.801345062E0,9.818558195E0
2.084116250E-1,-9.365125122E0,-2.288740540E-1,-3.840413818E0,1.012456074E1
2.184376250E-1,-9.630672913E0,-1.574725342E-1,-3.866908722E0,1.037919271E1
2.284626251E-1,-9.817634125E0,-1.625619507E-1,-3.905378723E0,1.056713533E1
2.384886250E-1,-9.823322296E0,-1.293310547E-1,-3.960015106E0,1.059226638E1
2.485146250E-1,-9.661658478E0,-6.601272583E-2,-3.992198181E0,1.045416895E1
2.585396250E-1,-9.327553253E0,4.206253052E-2,-4.066144409E0,1.017538939E1
2.685656250E-1,-9.052724762E0,8.637039185E-2,-4.168681183E0,9.966804316E0
2.785906250E-1,-8.930429077E0,4.385879517E-2,-4.246968384E0,9.888944714E0
2.886166250E-1,-8.852141876E0,3.472778320E-2,-4.276007996E0,9.830862942E0
2.986426250E-1,-8.794362030E0,8.187973022E-2,-4.238885193E0,9.762973701E0
3.086676250E-1,-8.871451721E0,1.242416382E-1,-4.320615234E0,9.868424780E0
3.186936250E-1,-8.992250519E0,2.453398132E-1,-4.325405273E0,9.981477436E0
3.287186250E-1,-9.109756165E0,3.490740967E-1,-4.342020721E0,1.009765587E1
3.387446250E-1,-9.182504883E0,3.912863159E-1,-4.354295197E0,1.017012230E1
3.487706250E-1,-9.083560638E0,4.465214539E-1,-4.327201538E0,1.007150080E1
3.587956250E-1,-8.826694794E0,5.266049194E-1,-4.292773132E0,9.829331355E0
3.688216250E-1,-8.571176147E0,3.568579102E-1,-4.217330017E0,9.559198742E0
3.788476250E-1,-8.426277466E0,8.607101440E-2,-4.181255035E0,9.407042778E0
3.888726250E-1,-8.453371124E0,-1.332229614E-1,-4.242028656E0,9.458966056E0
3.988986250E-1,-8.634644165E0,-2.863545227E-1,-4.224066010E0,9.616746457E0
4.089236250E-1,-8.821306000E0,-2.692900085E-1,-4.203259277E0,9.775241440E0
4.189496250E-1,-8.899443512E0,-1.766326904E-1,-4.311783600E0,9.890539507E0
4.289756250E-1,-8.855135651E0,-4.161346436E-2,-4.385131073E0,9.881524862E0
4.390006250E-1,-8.882977753E0,-2.844085693E-2,-4.435426483E0,9.928802079E0
4.490266250E-1,-8.740923157E0,-4.490661621E-3,-4.401147766E0,9.786411981E0
4.590516250E-1,-8.422385559E0,2.365081787E-2,-4.384232941E0,9.495190169E0
4.690776250E-1,-8.386011200E0,-7.604187012E-2,-4.204007721E0,9.381079209E0
4.791036251E-1,-8.487949219E0,-2.354603577E-1,-3.915258179E0,9.350399463E0
4.891286250E-1,-8.568481750E0,-3.150947571E-1,-3.710484009E0,9.342689966E0
4.991546250E-1,-8.607400818E0,-3.260220337E-1,-3.664978638E0,9.360860410E0
5.091796250E-1,-8.663085022E0,-3.128494263E-1,-3.742218018E0,9.441986685E0
5.192056251E-1,-8.659791870E0,-2.534230042E-1,-3.862268372E0,9.485427530E0
5.292316250E-1,-8.597072296E0,-1.493893433E-1,-4.001927948E0,9.484060130E0
5.392566250E-1,-8.614136810E0,-1.287322998E-2,-4.174668732E0,9.572427995E0
5.492826250E-1,-8.641829224E0,7.304809570E-2,-4.292623444E0,9.649516277E0
5.593086251E-1,-8.657696228E0,1.477427673E-1,-4.331542511E0,9.681931234E0
5.693336250E-1,-8.646319885E0,1.514849854E-1,-4.340972900E0,9.676044697E0
5.793596250E-1,-8.661737823E0,-1.616638184E-2,-4.270020447E0,9.657071921E0
5.893846250E-1,-8.738977203E0,-1.833686829E-1,-4.202061768E0,9.698488013E0
5.994106251E-1,-8.771459656E0,-3.311114502E-1,-4.087998962E0,9.682968285E0
6.094366250E-1,-8.859476624E0,-4.793032837E-1,-3.936963043E0,9.706685103E0
6.194616250E-1,-9.035061493E0,-5.525010681E-1,-3.895499268E0,9.854567883E0
6.294876250E-1,-9.191635895E0,-4.902305603E-1,-4.028422852E0,1.004762097E1
6.395126251E-1,-9.279353485E0,-3.725752258E-1,-4.168830872E0,1.017960531E1
6.495386250E-1,-9.381890259E0,-2.969824219E-1,-4.279450836E0,1.031609242E1
6.595646250E-1,-9.415719910E0,-2.763253784E-1,-4.313430176E0,1.036039657E1
6.695896250E-1,-9.395661621E0,-3.728746033E-1,-4.165986786E0,1.028459716E1
6.796156249E-1,-9.317524109E0,-5.466632080E-1,-3.965104523E0,1.014086535E1
6.896416250E-1,-9.145082703E0,-6.756948853E-1,-3.792513428E0,9.923318967E0
6.996666250E-1,-8.903335419E0,-7.086264038E-1,-3.658542023E0,9.651759564E0
7.096926250E-1,-8.728498993E0,-7.550299072E-1,-3.558100891E0,9.456048159E0
7.197176251E-1,-8.731792145E0,-7.563771057E-1,-3.476370850E0,9.428756793E0
7.297436250E-1,-8.760083313E0,-7.439529419E-1,-3.383863220E0,9.420353280E0
7.397696250E-1,-8.776848450E0,-6.740483093E-1,-3.350332947E0,9.418712263E0
7.497946250E-1,-8.834478607E0,-5.658233643E-1,-3.400628357E0,9.483271670E0
7.598206250E-1,-8.963360596E0,-3.623963928E-1,-3.390599213E0,9.590063990E0
7.698456250E-1,-9.053622894E0,-1.686991882E-1,-3.389850769E0,9.668900411E0
7.798716250E-1,-9.192234650E0,-6.152206421E-2,-3.520678711E0,9.843583768E0
7.898976250E-1,-9.334738312E0,-2.649490356E-2,-3.809278564E0,1.008209524E1
7.999226250E-1,-9.435329132E0,-7.439529419E-2,-4.067491608E0,1.027499190E1
8.099486250E-1,-9.425150299E0,-1.362167358E-1,-4.115691376E0,1.028547173E1
8.199746250E-1,-9.335935822E0,-2.110610962E-1,-4.007017365E0,1.016171406E1
8.299996250E-1,-9.207053833E0,-2.760260010E-1,-3.779789886E0,9.956547706E0
8.400256250E-1,-9.136251068E0,-2.712359619E-1,-3.528761902E0,9.797796338E0
8.500506250E-1,-8.986412659E0,-2.216889954E-1,-3.401825867E0,9.611304683E0
8.600766250E-1,-8.816815338E0,-2.151026917E-1,-3.415148163E0,9.457575738E0
8.701026250E-1,-8.787476349E0,-2.303709412E-1,-3.456462250E0,9.445630876E0
8.801276250E-1,-8.776399384E0,-2.177970886E-1,-3.495531006E0,9.449410496E0
8.901536250E-1,-8.806636505E0,-2.097138977E-1,-3.499422913E0,9.478754516E0
9.001786250E-1,-8.843310242E0,-1.995350647E-1,-3.494632874E0,9.510857437E0
9.102046250E-1,-8.754993896E0,-2.209405518E-1,-3.495231628E0,9.429495055E0
9.202306250E-1,-8.731492767E0,-3.112028503E-1,-3.498973846E0,9.411622131E0
9.302556250E-1,-8.735534363E0,-3.908372498E-1,-3.420686646E0,9.389537341E0
9.402816250E-1,-8.742569733E0,-5.294490051E-1,-3.225642242E0,9.333681463E0
9.503076250E-1,-8.738079071E0,-6.502478027E-1,-2.900668030E0,9.229882073E0
9.603326250E-1,-8.659642181E0,-7.973918152E-1,-2.575544128E0,9.069656221E0
9.703586251E-1,-8.499325562E0,-9.666897583E-1,-2.291285248E0,8.855676833E0
9.803836250E-1,-8.212222595E0,-1.180145874E0,-1.945953369E0,8.521741533E0
9.904096250E-1,-7.879913635E0,-1.516945496E0,-1.808239746E0,8.225806557E0
1.000435250E0,-7.461683350E0,-1.843266907E0,-1.618883514E0,7.854625079E0
1.010460250E0,-6.938521271E0,-2.061213684E0,-1.259331207E0,7.346944560E0
1.020486250E0,-6.351891174E0,-2.075583801E0,-7.804769897E-1,6.727831295E0
1.030511250E0,-5.664969635E0,-1.837279358E0,-4.959187317E-1,5.976069929E0
1.040537250E0,-5.102888489E0,-1.460662537E0,-5.062472534E-1,5.331912626E0
1.050563250E0,-4.701872406E0,-8.692424011E-1,-7.628137207E-1,4.842011075E0
1.060588250E0,-4.394262085E0,-2.565664673E-1,-1.044827271E0,4.524050138E0
1.070614250E0,-4.225562897E0,2.601589966E-1,-1.246757355E0,4.413328494E0
1.080639250E0,-4.135450287E0,6.982978821E-1,-1.444047089E0,4.435633100E0
1.090665250E0,-4.136797485E0,1.021625519E0,-1.617536316E0,4.557766544E0
1.100691250E0,-4.297114105E0,1.186881866E0,-1.769170990E0,4.796232291E0
1.110716250E0,-4.753515015E0,1.004411316E0,-1.865271149E0,5.204227469E0
1.120742250E0,-5.457351379E0,5.712121582E-1,-1.820813599E0,5.781377826E0
1.130768250E0,-6.155200195E0,1.496887207E-2,-1.525777130E0,6.341506868E0
1.140793250E0,-6.800957336E0,-6.301895142E-1,-1.168619843E0,6.929345702E0
1.150819250E0,-7.256011047E0,-1.271156616E0,-7.536827087E-1,7.404969486E0
1.160844250E0,-7.581733704E0,-1.842817841E0,-3.290158081E-1,7.809411946E0
1.170870250E0,-7.881709900E0,-2.409689026E0,2.791694641E-1,8.246568240E0
1.180896250E0,-8.307723999E0,-2.737058258E0,9.440867615E-1,8.797787549E0
1.190921250E0,-8.974587250E0,-2.432441711E0,9.388476562E-1,9.345663374E0
1.200947250E0,-9.656119995E0,-1.625619507E0,2.938389587E-1,9.796409213E0
1.210972250E0,-1.039528290E1,-8.675958252E-1,-7.872129822E-1,1.046108662E1
1.220998250E0,-1.130973129E1,-6.303392029E-1,-2.186652832E0,1.153641192E1
1.231024250E0,-1.221265366E1,-6.951544189E-1,-3.496129761E0,1.272222749E1
1.241049250E0,-1.310943878E1,-6.550378418E-1,-4.711452484E0,1.394576080E1
1.251075250E0,-1.414393753E1,-3.403921509E-1,-6.625522156E0,1.562255995E1
1.261101250E0,-1.588631424E1,1.004411316E-1,-1.044243484E1,1.901129964E1
1.271126250E0,-1.819840622E1,8.981323242E-3,-1.363978592E1,2.274259944E1
1.281152250E0,-2.056408676E1,-7.487429810E-1,-1.325972626E1,2.447984111E1
1.291177250E0,-2.214135681E1,-1.619931335E0,-1.032986893E1,2.448611956E1
