"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.572208363E-3,-3.651806030E0,-8.677305450E0,-1.707199860E0,9.567959475E0
8.453791728E-3,-3.975582733E0,-7.629035339E0,-1.250349884E0,8.693147480E0
1.847979170E-2,-4.317920837E0,-6.978039093E0,-1.181792450E0,8.290603316E0
2.850579168E-2,-4.978796539E0,-7.273674316E0,-2.097737732E0,9.060643279E0
3.853179165E-2,-5.120551758E0,-8.408314819E0,-2.318378906E0,1.011408370E1
4.855779174E-2,-5.062472534E0,-9.161997528E0,-2.596949615E0,1.078494201E1
5.858379172E-2,-4.922214203E0,-9.396110687E0,-1.954934692E0,1.078595653E1
6.860879168E-2,-3.952680359E0,-9.512418823E0,-5.878276062E-1,1.031771948E1
7.863479166E-2,-2.258802795E0,-1.016296600E1,9.958790588E-1,1.045848188E1
8.866079163E-2,-1.532662811E0,-1.036145325E1,-5.891748047E-1,1.049075286E1
9.868679172E-2,-8.294252014E-1,-9.755064240E0,-1.806892548E0,9.955605715E0
1.087127917E-1,4.438270569E-1,-9.938732300E0,-1.287173309E0,1.003156006E1
1.187387917E-1,1.704056396E0,-9.534872131E0,-9.692344666E-1,9.734321251E0
1.287647916E-1,1.767674103E0,-6.413712616E0,3.817062378E-2,6.652957106E0
1.387907917E-1,1.659748535E0,-5.134622498E0,7.964936829E-1,5.454678320E0
1.488167917E-1,1.541344757E0,-5.351970520E0,6.503974915E-1,5.607347769E0
1.588427917E-1,1.276844788E0,-5.404810638E0,1.052012329E0,5.652348237E0
1.688687917E-1,6.010002136E-1,-5.561235352E0,1.611399078E0,5.821094990E0
1.788947916E-1,-2.182461548E-1,-5.932613068E0,1.797013092E0,6.202643408E0
1.889207917E-1,-1.087488556E0,-6.541546783E0,1.526675262E0,6.804792652E0
1.989467917E-1,-1.584904175E0,-6.570736084E0,1.357527008E0,6.894155025E0
2.089727917E-1,-6.038442993E-1,-5.715564423E0,-5.689518585E0,8.087207574E0
2.189977916E-1,1.563199310E0,-5.321434021E0,-1.462997681E1,1.564600503E1
2.290237917E-1,7.547305298E-1,-5.719456329E0,3.415896606E-1,5.779142010E0
2.390497917E-1,-2.095043335E0,-6.112688599E0,4.302802277E0,7.763264514E0
2.490757917E-1,-3.386258240E0,-8.097561035E0,3.608995056E0,9.490104578E0
2.591017917E-1,-3.682791595E0,-9.774823151E0,3.853436737E0,1.113369194E1
2.691277916E-1,-3.458857269E0,-1.072684341E1,3.194357300E0,1.171463964E1
2.791537917E-1,-3.257376251E0,-1.171014862E1,2.969674530E0,1.251227588E1
2.891797917E-1,-3.208877106E0,-1.321377182E1,2.615511017E0,1.384707752E1
2.992057917E-1,-3.013982391E0,-1.490181152E1,1.395248566E0,1.526744232E1
3.092317916E-1,-2.324965210E0,-1.660362259E1,-8.355624390E-1,1.678642043E1
3.192577917E-1,-2.170486450E0,-1.987087830E1,-3.913461914E0,2.036855419E1
3.292837917E-1,-1.834435272E0,-2.238969040E1,-4.506678314E0,2.291230103E1
3.393097917E-1,-1.479673004E0,-2.277019913E1,-3.455264740E0,2.307835035E1
3.493357917E-1,-8.481362915E-1,-2.090642487E1,-2.303859100E0,2.105007607E1
3.593617916E-1,3.832031250E-2,-1.784573959E1,-7.182064819E-1,1.786022706E1
3.693877917E-1,1.315015411E0,-1.443463303E1,-2.803669739E-1,1.449712046E1
3.794127917E-1,5.837560730E0,-1.052491333E1,-5.079836426E0,1.306352380E1
3.894387917E-1,4.107907562E0,-6.082900543E0,-3.854185181E0,8.290435873E0
3.994647916E-1,2.021845551E0,-3.815415802E0,-6.256988525E-2,4.318468729E0
4.094907917E-1,-2.525248718E-1,-4.815935211E0,1.482816467E0,5.045368712E0
4.195167917E-1,-3.894601135E0,-7.398963776E0,2.536625061E0,8.737679878E0
4.295427917E-1,-6.310577087E0,-9.086255035E0,3.056793365E0,1.147725574E1
4.395687917E-1,-7.283404083E0,-9.963580627E0,3.160527649E0,1.274008826E1
4.495947916E-1,-7.642357635E0,-1.048359924E1,3.114722900E0,1.334215058E1
4.596207917E-1,-7.477101288E0,-1.049033524E1,2.879561920E0,1.320022931E1
4.696467917E-1,-6.454128571E0,-9.617649994E0,2.084565125E0,1.176861839E1
4.796727917E-1,-5.306016083E0,-8.393645325E0,1.246757355E0,1.000807136E1
4.896987916E-1,-4.974904633E0,-7.397167511E0,4.555027771E-1,8.926099152E0
4.997247917E-1,-5.103936310E0,-6.892267456E0,3.177891541E-1,8.582220370E0
