"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.338958275E-3,-7.789501648E0,-2.067201233E-1,3.463198242E0,8.527180730E0
8.687041700E-3,-8.745114441E0,1.615740051E0,2.357447662E0,9.200282712E0
1.871304167E-2,-1.004022125E1,2.609972534E0,1.040336609E0,1.042594359E1
2.873904165E-2,-1.127575195E1,3.070864105E0,1.806742859E-1,1.168783263E1
3.876504162E-2,-1.228525269E1,3.478915558E0,-1.639091492E-1,1.276938343E1
4.879104171E-2,-1.259256363E1,3.710783386E0,-5.465135193E-1,1.313930170E1
5.881704169E-2,-1.214604218E1,3.989354095E0,-9.791139221E-1,1.282185442E1
6.884204166E-2,-1.085767136E1,4.004472656E0,-1.196461945E0,1.163427478E1
7.886804163E-2,-9.409882050E0,3.575165405E0,-1.233135681E0,1.014141565E1
8.889404172E-2,-8.700058136E0,2.759212189E0,-8.039781189E-1,9.162458419E0
9.892004170E-2,-8.498128052E0,1.478325806E0,-5.179229736E-1,8.641288780E0
1.089460417E-1,-8.481811981E0,4.173321533E-1,-3.863465881E-1,8.500856680E0
1.189720416E-1,-8.329728241E0,-3.879931641E-1,-5.270539856E-1,8.355399282E0
1.289980416E-1,-8.134534149E0,-1.250798950E0,-8.619076538E-1,8.275145234E0
1.390240417E-1,-8.236921234E0,-1.989812164E0,-1.179547119E0,8.555556982E0
1.490490417E-1,-8.655600586E0,-2.642005920E0,-1.437011719E0,9.163221020E0
1.590750417E-1,-9.264085236E0,-3.014281769E0,-1.773811340E0,9.902301576E0
1.691010416E-1,-9.711804199E0,-3.082240448E0,-2.224224701E0,1.042911897E1
1.791270417E-1,-9.870025177E0,-2.704276428E0,-2.483036499E0,1.053071594E1
1.891530417E-1,-9.777667236E0,-2.102677460E0,-2.545007629E0,1.031993667E1
1.991790417E-1,-9.649084625E0,-1.574425964E0,-2.366878052E0,1.005911343E1
2.092050416E-1,-9.498647461E0,-1.020877075E0,-2.116299133E0,9.784948422E0
2.192310416E-1,-9.241931305E0,-6.741979980E-1,-1.835333405E0,9.446495958E0
2.292560417E-1,-9.179211731E0,-5.140310669E-1,-1.645677795E0,9.339722231E0
2.392820417E-1,-9.270072784E0,-4.402345276E-1,-1.503024445E0,9.401443418E0
2.493080416E-1,-9.325457611E0,-3.909869385E-1,-1.504671021E0,9.454155981E0
2.593340416E-1,-9.147777100E0,-4.037104797E-1,-1.570983124E0,9.290468018E0
2.693600417E-1,-8.480315094E0,-1.701362000E0,-2.491119690E0,9.000891848E0
2.793860417E-1,-7.845335541E0,-2.293081512E0,-2.415826263E0,8.523129068E0
2.894120417E-1,-8.268355865E0,-1.825154572E0,-1.239871674E0,8.557697102E0
2.994370416E-1,-9.318571930E0,-1.953437805E0,-1.407373352E0,9.624572813E0
3.094630417E-1,-1.033346146E1,-8.568182373E-1,-1.375489655E0,1.045975788E1
3.194890417E-1,-1.094284424E1,7.092251587E-1,-8.105644226E-1,1.099571985E1
3.295150417E-1,-1.104657852E1,1.862726440E0,-1.332978058E0,1.128155474E1
3.395410416E-1,-1.017973114E1,2.650687866E0,-2.129920807E0,1.073264343E1
3.495670416E-1,-8.945547638E0,2.265838165E0,-2.530487823E0,9.568710141E0
3.595930417E-1,-8.484656067E0,1.613794098E0,-3.307971039E0,9.248588668E0
3.696190417E-1,-9.170679474E0,8.870553589E-1,-3.770209808E0,9.955034466E0
3.796440416E-1,-9.861343231E0,3.528163147E-1,-4.317022705E0,1.077066640E1
3.896700416E-1,-1.049273026E1,1.651066589E-1,-4.106260986E0,1.126880773E1
3.996964167E-1,-1.078507233E1,-1.173559570E-1,-3.512146454E0,1.134313582E1
4.097224167E-1,-1.084075653E1,-8.268804932E-1,-2.937641144E0,1.126212542E1
4.197484166E-1,-1.049003586E1,-1.749561768E0,-2.051932983E0,1.083107786E1
4.297744166E-1,-9.716743927E0,-2.535726929E0,-1.645528107E0,1.017608895E1
4.398004167E-1,-9.048533478E0,-2.745889893E0,-1.585502930E0,9.587997129E0
4.498264167E-1,-8.682095490E0,-2.183659058E0,-1.367705841E0,9.056366172E0
4.598514166E-1,-8.903784485E0,-1.547931061E0,-1.734892273E0,9.202354042E0
4.698774166E-1,-9.438322906E0,-2.068698120E0,-2.263443146E0,9.923942063E0
4.799034167E-1,-9.934091949E0,-3.566333771E0,-2.656376038E0,1.088399068E1
4.899294167E-1,-1.042611877E1,-5.457650757E0,-3.374732208E0,1.224249656E1
4.999554167E-1,-1.085946762E1,-7.028184814E0,-3.381917267E0,1.337014522E1
5.099814166E-1,-1.105151825E1,-8.103997650E0,-3.160976715E0,1.406423149E1
5.200074167E-1,-1.103550156E1,-8.039781189E0,-2.296224976E0,1.384532503E1
5.300334167E-1,-1.094029953E1,-7.194039917E0,-1.029409332E0,1.313407963E1
5.400584167E-1,-1.054167847E1,-6.772965546E0,-3.203338623E-2,1.253000692E1
5.500844166E-1,-9.756411438E0,-6.314768372E0,1.033750305E0,1.166758344E1
5.601104166E-1,-9.240584106E0,-6.343508606E0,1.860481110E0,1.136177301E1
5.701364167E-1,-8.862470398E0,-6.998396759E0,2.185006256E0,1.150196466E1
5.801624167E-1,-8.583151245E0,-7.540419617E0,2.458936615E0,1.168652141E1
5.901884167E-1,-7.888894958E0,-6.695277100E0,2.974464569E0,1.076609672E1
6.002144166E-1,-7.146438904E0,-5.508095856E0,2.982547760E0,9.502962701E0
6.102404167E-1,-6.904392242E0,-4.189487915E0,2.590513000E0,8.481344164E0
6.202654167E-1,-7.006479950E0,-2.935844879E0,2.473306732E0,7.989192239E0
6.302914167E-1,-6.888375549E0,-2.217937775E0,3.106340332E0,7.875170851E0
6.403174166E-1,-6.764732666E0,-1.755549316E0,3.222947845E0,7.696164906E0
6.503434167E-1,-6.810687103E0,-1.840722198E0,2.519560547E0,7.491455291E0
6.603694167E-1,-6.638245697E0,-2.155068512E0,1.466051331E0,7.131615015E0
6.703954167E-1,-7.155120850E0,-2.016307068E0,1.796114960E0,7.647697530E0
6.804214166E-1,-9.563462677E0,-1.954635315E0,4.167483673E0,1.061359212E1
6.904474166E-1,-1.278221924E1,-1.874102783E0,5.941295013E0,1.421957722E1
7.004724167E-1,-1.452085373E1,-1.926194458E0,6.640790405E0,1.608308165E1
7.104984167E-1,-1.601938751E1,-4.271966400E0,6.998247070E0,1.799571991E1
7.205244167E-1,-1.482891312E1,-6.034102020E0,5.317392426E0,1.686954989E1
7.305504166E-1,-9.604776764E0,-4.427193604E0,2.353406067E0,1.083468043E1
7.405764167E-1,-6.586004333E0,-1.168170776E0,-7.699987793E-1,6.732976620E0
7.506024167E-1,-5.690267029E0,6.924600220E-1,-3.002007294E0,6.470756334E0
7.606284167E-1,-6.713838501E0,-1.824106750E0,-3.438200226E0,7.760426125E0
7.706544166E-1,-7.544610901E0,-5.563031616E0,-3.737278290E0,1.009136876E1
7.806794167E-1,-6.884184265E0,-6.611750793E0,-3.672313385E0,1.022707813E1
7.907054167E-1,-6.093079376E0,-6.734645233E0,-3.565285950E0,9.756655503E0
8.007314167E-1,-5.980812836E0,-6.023923187E0,-4.246369629E0,9.491545067E0
8.107574166E-1,-6.824009399E0,-5.860612793E0,-2.875071259E0,9.443512129E0
8.207834166E-1,-7.637866974E0,-5.777385864E0,-9.717791748E-1,9.625983280E0
8.308094167E-1,-7.745642853E0,-6.137387238E0,1.570833435E0,1.000649904E1
8.408354167E-1,-7.571255493E0,-6.639892273E0,3.911815338E0,1.080344289E1
8.508614167E-1,-7.185058594E0,-7.004533997E0,5.082081757E0,1.124793841E1
8.608864166E-1,-6.366261292E0,-7.963439941E0,5.541476440E0,1.160403463E1
8.709124167E-1,-6.028862915E0,-7.101681976E0,4.886139221E0,1.051928854E1
8.809384167E-1,-7.165599060E0,-6.197711792E0,3.053949280E0,9.954097023E0
8.909644167E-1,-7.572153625E0,-7.492070160E0,2.565514984E0,1.095675558E1
9.009904166E-1,-8.062533875E0,-8.262518005E0,1.680405579E0,1.166607985E1
9.110164166E-1,-8.353678436E0,-7.700885925E0,-3.336561584E-1,1.136657001E1
9.210424167E-1,-7.590265961E0,-6.291117554E0,-3.213367767E0,1.036899368E1
9.310684167E-1,-6.863078156E0,-4.978646851E0,-4.638404388E0,9.664551800E0
9.410934167E-1,-7.124883728E0,-4.468807068E0,-5.011428680E0,9.790230956E0
9.511194166E-1,-7.702981567E0,-5.295537872E0,-4.635560303E0,1.043393817E1
