"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.384000061E-3,-9.841135254E0,-6.557264099E0,-8.333171082E-1,1.185495985E1
8.642000030E-3,-9.451495514E0,-6.429579620E0,-8.934919739E-1,1.146597529E1
1.866700000E-2,-8.584348755E0,-4.595294037E0,-3.809278564E0,1.045554274E1
2.869299997E-2,-7.563321991E0,-3.078797607E0,-7.365283813E0,1.099682863E1
3.871799994E-2,-7.294331360E0,-2.689457245E0,-7.489974518E0,1.079537718E1
4.874300002E-2,-7.810757446E0,-2.464175720E0,-6.089486847E0,1.020597589E1
5.876900000E-2,-7.839048615E0,-2.596201172E0,-3.530109100E0,8.980680039E0
6.879399996E-2,-7.819140015E0,-3.586990814E0,-6.038442993E-1,8.623808996E0
7.881999994E-2,-8.303682404E0,-4.412374420E0,1.231938171E-1,9.404007986E0
8.884500002E-2,-9.443562012E0,-4.773423615E0,-1.275796967E0,1.065805303E1
9.887099999E-2,-9.921817474E0,-4.806055756E0,-3.201542358E0,1.148000468E1
1.088960000E-1,-9.288634186E0,-4.524191895E0,-4.144431610E0,1.113208654E1
1.189219999E-1,-8.281079407E0,-4.404291229E0,-4.271966400E0,1.030649088E1
1.289470000E-1,-7.178921356E0,-4.630620575E0,-3.623814240E0,9.279632988E0
1.389730000E-1,-6.415059814E0,-5.027145996E0,-2.667003937E0,8.575435807E0
1.489980000E-1,-6.481671295E0,-5.062921600E0,-1.775607605E0,8.414155946E0
1.590239999E-1,-6.867568817E0,-5.145250397E0,-7.631130981E-1,8.615070789E0
1.690490000E-1,-6.735393677E0,-5.678142242E0,-7.414082336E-1,8.840617256E0
1.790750000E-1,-5.974675598E0,-6.099665680E0,-1.881886597E0,8.743235504E0
1.891000000E-1,-5.376369781E0,-5.965694275E0,-3.327131195E0,8.692793694E0
1.991259999E-1,-5.381608887E0,-5.631589050E0,-4.713847504E0,9.104771701E0
2.091510000E-1,-6.191873932E0,-5.133724365E0,-5.813610535E0,9.924338572E0
2.191770000E-1,-6.960226135E0,-4.771477661E0,-6.223907318E0,1.048564587E1
2.292020000E-1,-6.443650360E0,-4.594395905E0,-5.931265869E0,9.889844210E0
2.392269999E-1,-4.793781281E0,-4.890779572E0,-4.779411163E0,8.351217567E0
2.492530000E-1,-2.660567322E0,-4.846771088E0,-3.570225677E0,6.581513491E0
2.592780000E-1,-1.174308014E0,-4.701273651E0,-2.181713104E0,5.314211637E0
2.693040000E-1,-6.950047302E-1,-4.464765472E0,-2.621049500E-1,4.526130942E0
2.793289999E-1,-9.458830261E-1,-4.069138184E0,1.450483704E0,4.422271275E0
2.893550000E-1,-1.656006317E0,-4.560865631E0,2.208657074E0,5.331230468E0
2.993800000E-1,-2.849324799E0,-5.353766785E0,2.695744171E0,6.636904943E0
3.094060000E-1,-6.030359802E0,-7.608527985E0,4.962181091E0,1.090312701E1
3.194309999E-1,-7.823331299E0,-1.181313446E1,8.215366058E0,1.637824465E1
3.294570000E-1,-8.134683838E0,-1.287233185E1,6.093827820E0,1.640136415E1
3.394820000E-1,-6.894363098E0,-1.010144394E1,2.055375824E0,1.240145080E1
3.495080000E-1,-6.291117554E0,-7.996221771E0,-8.292755127E-2,1.017470391E1
3.595329999E-1,-7.895481262E0,-8.261769562E0,-3.929927673E0,1.208469247E1
3.695592083E-1,-1.064825684E1,-1.116213821E1,-1.205458237E1,1.957783592E1
3.795842084E-1,-1.060290115E1,-1.153785690E1,-1.563334030E1,2.213470090E1
3.896102083E-1,-8.377179565E0,-8.564140778E0,-9.041797485E0,1.500918874E1
3.996352083E-1,-7.692054291E0,-7.422315216E0,-6.460415497E0,1.248981308E1
4.096602083E-1,-7.164401550E0,-7.269632721E0,-5.332810364E0,1.151586192E1
4.196862084E-1,-6.944508820E0,-7.802674255E0,-3.820954285E0,1.112239272E1
4.297112083E-1,-6.083798676E0,-8.028704224E0,-2.559976501E0,1.039356424E1
4.397372083E-1,-4.549938354E0,-8.799002380E0,-2.014061737E0,1.010845322E1
4.497622083E-1,-3.058290253E0,-9.736353149E0,-2.578837280E0,1.052616329E1
4.597882084E-1,-1.780547333E0,-9.794132996E0,-2.427651672E0,1.024640828E1
4.698132083E-1,-4.204756165E-1,-9.560019836E0,-3.147953796E-1,9.574438634E0
4.798392083E-1,1.035546570E0,-9.260941772E0,2.018103333E0,9.534680921E0
4.898642083E-1,1.976639557E0,-9.439670105E0,3.630999298E0,1.030527203E1
4.998902084E-1,2.246977386E0,-9.672585754E0,4.877457275E0,1.106333639E1
5.099152083E-1,1.898352356E0,-9.588311005E0,5.706134033E0,1.131810122E1
5.199412083E-1,1.341809692E0,-8.934470673E0,5.863905945E0,1.077082227E1
5.299662083E-1,2.932402039E-1,-8.506959686E0,5.163213043E0,9.955557335E0
5.399922084E-1,-9.012757874E-1,-8.564290466E0,4.940775604E0,9.928274412E0
5.500172083E-1,-1.063837738E0,-7.945177917E0,3.240910492E0,8.646450352E0
5.600422083E-1,-1.577719116E0,-7.205416260E0,6.851252747E-1,7.407875386E0
5.700682083E-1,-1.706301727E0,-7.403454437E0,-1.165626068E0,7.686435280E0
5.800932084E-1,-2.139949951E0,-6.971303101E0,-7.861651611E-1,7.334610308E0
5.901192083E-1,-2.862647095E0,-6.206543427E0,3.870950317E-1,6.845858037E0
6.001442083E-1,-3.212619324E0,-5.891748047E0,9.394464111E-1,6.776147691E0
6.101702083E-1,-3.314407654E0,-6.051615601E0,8.833131409E-1,6.956119003E0
6.201952084E-1,-3.167862396E0,-6.004463654E0,9.538165283E-1,6.855559926E0
6.302212083E-1,-2.651735687E0,-5.526956635E0,1.070124664E0,6.222870607E0
6.402462083E-1,-2.110012207E0,-4.378844147E0,6.676116943E-1,4.906336000E0
6.502722083E-1,-1.698368225E0,-4.269571381E0,2.586621094E-1,4.602238639E0
6.602972083E-1,-1.263522491E0,-6.008804626E0,-3.859124908E0,7.252245665E0
6.703232083E-1,-1.244512024E0,-7.762407990E0,-6.139033813E0,9.974543806E0
6.803482083E-1,-2.299518127E0,-7.651338959E0,-1.966460724E0,8.227863590E0
6.903742083E-1,-2.777773590E0,-8.326285400E0,1.770667877E0,8.954234720E0
7.003992083E-1,-2.746189270E0,-9.298064575E0,2.699486389E0,1.006393497E1
7.104252083E-1,-2.827619934E0,-9.644144897E0,3.225342865E0,1.055498943E1
7.204502083E-1,-2.089953918E0,-9.508526917E0,3.043171692E0,1.020004340E1
7.304752083E-1,-2.599194946E0,-8.656049652E0,3.276985474E0,9.613617620E0
7.405012083E-1,-1.166823578E0,-1.118025055E1,3.164868622E0,1.167800809E1
7.505262083E-1,-1.228944397E-1,-1.640199188E1,2.974165192E0,1.666991600E1
7.605522083E-1,-5.703140259E-1,-2.074955109E1,2.681074677E0,2.092981820E1
