"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.986333316E-3,-1.024289978E1,-2.484234009E0,1.053658905E0,1.059238460E1
2.001233329E-2,-1.023960663E1,-2.512525177E0,1.171763306E0,1.060826828E1
3.003833338E-2,-1.016281631E1,-2.537223816E0,1.337618408E0,1.055980886E1
4.006433336E-2,-1.011491592E1,-2.545606384E0,1.498384094E0,1.053739963E1
5.009033333E-2,-1.003109024E1,-2.563119965E0,1.644330597E0,1.048313782E1
6.011633330E-2,-9.983938293E0,-2.595602417E0,1.743274841E0,1.046208311E1
7.014233328E-2,-1.028645920E1,-2.557132416E0,1.883682861E0,1.076561332E1
8.016833337E-2,-1.056188644E1,-2.338736572E0,1.971550140E0,1.099591488E1
9.019433334E-2,-1.057460999E1,-2.151925049E0,1.947150879E0,1.096560779E1
1.002193333E-1,-1.065020279E1,-2.016307068E0,1.838177490E0,1.099414436E1
1.102453333E-1,-1.064226929E1,-1.932182007E0,1.776805115E0,1.096121614E1
1.202713334E-1,-1.050051407E1,-1.866019592E0,1.697320404E0,1.079924633E1
1.302973334E-1,-1.042327469E1,-1.874851227E0,1.584305420E0,1.070839605E1
1.403233333E-1,-1.047312103E1,-1.840123444E0,1.442400513E0,1.073092902E1
1.503493333E-1,-1.056757462E1,-1.715881805E0,1.316212921E0,1.078657963E1
1.603753333E-1,-1.070738388E1,-1.755249939E0,1.158890076E0,1.091201164E1
1.704013334E-1,-1.080587906E1,-1.741328888E0,1.068029022E0,1.099726941E1
1.804273333E-1,-1.092667786E1,-1.688638458E0,1.154698792E0,1.111652455E1
1.904533333E-1,-1.110780121E1,-1.673819275E0,1.212029572E0,1.129840406E1
2.004793333E-1,-1.120450012E1,-1.641486511E0,1.111588440E0,1.137852933E1
2.105053334E-1,-1.118489090E1,-1.672472076E0,1.121318207E0,1.136469541E1
2.205313334E-1,-1.112321915E1,-1.696272583E0,1.253044281E0,1.132137204E1
