"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.396916621E-3,-3.640429688E0,5.050347748E0,6.924001465E0,9.311312312E0
1.231791661E-2,-3.609444122E0,5.003046112E0,6.947053528E0,9.290861639E0
2.223891660E-2,-3.516337738E0,5.050946503E0,7.154073029E0,9.437025620E0
3.215991659E-2,-3.426374817E0,5.177134094E0,7.433841248E0,9.685285618E0
4.208091658E-2,-3.321592712E0,5.250481567E0,7.678282928E0,9.877072621E0
5.200191657E-2,-3.250340881E0,5.232219543E0,7.823930054E0,9.957646242E0
6.192291668E-2,-3.235671387E0,5.160368958E0,7.882907410E0,9.961887689E0
7.184391667E-2,-3.233875122E0,5.078638916E0,7.849077759E0,9.892347710E0
8.176491666E-2,-3.309916992E0,5.031187592E0,7.799979858E0,9.854343452E0
9.168591665E-2,-3.395688629E0,5.009183350E0,7.720794525E0,9.809856635E0
1.016069166E-1,-3.421285400E0,4.995711365E0,7.636669464E0,9.745821994E0
1.115279166E-1,-3.380570068E0,4.956941986E0,7.572153625E0,9.661109583E0
1.214489166E-1,-3.318898315E0,4.927303619E0,7.512278137E0,9.577459465E0
1.313699166E-1,-3.281625824E0,4.919370117E0,7.453151093E0,9.514133256E0
1.412909166E-1,-3.235671387E0,4.934488678E0,7.377558289E0,9.447069077E0
1.512119166E-1,-3.179388428E0,4.881798248E0,7.328011322E0,9.361635266E0
1.611329166E-1,-3.237018585E0,4.784201202E0,7.341932373E0,9.341886396E0
1.710539166E-1,-3.338208160E0,4.680017853E0,7.430099030E0,9.394284029E0
1.809749167E-1,-3.404520264E0,4.570595398E0,7.608228607E0,9.506116087E0
1.908959167E-1,-3.381019135E0,4.459975433E0,7.808063049E0,9.606691409E0
2.008169167E-1,-3.289559326E0,4.388274536E0,7.968080292E0,9.673079008E0
2.107379166E-1,-3.171754303E0,4.364324341E0,8.064330139E0,9.702616807E0
2.206589166E-1,-2.978356476E0,4.445755005E0,8.014783173E0,9.637016871E0
2.305799166E-1,-2.743045807E0,4.586013336E0,7.857160950E0,9.502146958E0
2.405009166E-1,-2.658172302E0,4.646337891E0,7.741750946E0,9.412175280E0
2.504219166E-1,-2.687361603E0,4.691693573E0,7.649243317E0,9.367220734E0
2.603429166E-1,-2.674787750E0,4.660857697E0,7.704029388E0,9.393090694E0
2.702639166E-1,-2.679128723E0,4.459077301E0,8.056546326E0,9.590048998E0
2.801849166E-1,-2.703977051E0,4.269122314E0,8.325237579E0,9.738915647E0
2.901059167E-1,-2.777174835E0,4.139342194E0,8.430319061E0,9.793729286E0
3.000269167E-1,-2.950214996E0,3.990551605E0,8.541238403E0,9.878310792E0
3.099479167E-1,-3.054398346E0,3.850143585E0,8.643924866E0,9.943359189E0
3.198689166E-1,-3.026107178E0,3.602408752E0,8.754395142E0,9.938516377E0
3.297899166E-1,-2.991229706E0,3.298091583E0,8.759783936E0,9.826427522E0
3.397109166E-1,-3.021915894E0,3.033441925E0,8.834478607E0,9.817421140E0
3.496319166E-1,-2.932551727E0,2.852468262E0,8.989855499E0,9.876939643E0
3.595519166E-1,-2.757266235E0,2.741399231E0,9.083410950E0,9.880594178E0
3.694729166E-1,-2.980751495E0,3.018922119E0,9.431137848E0,1.034142792E1
3.793949166E-1,-2.477348328E0,2.796484680E0,1.023317001E1,1.089382164E1
3.893159166E-1,-2.057770844E0,2.483186188E0,1.146795227E1,1.191278992E1
3.992352916E-1,-1.897154846E0,2.060165863E0,1.219514008E1,1.251259051E1
4.091572916E-1,-1.416654053E0,1.352886658E0,1.204590042E1,1.220413569E1
4.190772916E-1,-1.292711792E0,7.014413452E-1,1.154399414E1,1.163730744E1
4.289982916E-1,-1.321901093E0,1.049317932E-1,1.096739319E1,1.104726874E1
4.389192916E-1,-1.199006653E0,-2.800675964E-1,1.076725937E1,1.083743185E1
4.488402916E-1,-6.186634827E-1,-3.854484558E-1,1.080288528E1,1.082744871E1
4.587612916E-1,-4.180805969E-1,-4.023632813E-1,1.048255142E1,1.049859857E1
4.686822916E-1,-7.441026306E-1,-2.984793091E-1,1.023511597E1,1.026646860E1
4.786032917E-1,-1.237776031E0,-1.851649475E-1,1.006641678E1,1.014392046E1
4.885242917E-1,-1.691332855E0,-1.727407837E-1,9.703122253E0,9.850940446E0
4.984452917E-1,-2.189796295E0,-3.966751099E-2,9.664951630E0,9.909998553E0
5.083662916E-1,-2.781665497E0,2.930905151E-1,9.824819183E0,1.021521595E1
5.182872916E-1,-3.298091583E0,6.258485413E-1,9.789043579E0,1.034864574E1
5.282082916E-1,-3.579506378E0,8.443940735E-1,9.344468079E0,1.004215868E1
5.381292916E-1,-3.631448364E0,8.318202209E-1,8.588090973E0,9.361337974E0
5.480502916E-1,-3.904330902E0,8.533753967E-1,8.546627197E0,9.434876036E0
5.579712916E-1,-4.113146667E0,7.749385071E-1,9.118737488E0,1.003343802E1
5.678922916E-1,-4.184398499E0,2.926414490E-1,1.053883438E1,1.134292114E1
5.778132916E-1,-4.258644104E0,1.534309387E-1,1.107786346E1,1.186923121E1
5.877342916E-1,-3.430715790E0,4.399351501E-1,7.004084930E0,7.811565751E0
5.976552917E-1,-3.363655243E0,6.750961304E-1,5.013524323E0,6.074977984E0
6.075762917E-1,-4.571194153E0,2.047741699E-1,5.638624420E0,7.261668802E0
6.174972916E-1,-3.481160889E0,3.308120728E-1,5.359454956E0,6.399349591E0
6.274182916E-1,-3.057691498E0,1.351689148E0,6.685996399E0,7.475231682E0
6.373392916E-1,-3.316203918E0,1.101110229E0,5.535339203E0,6.545963050E0
6.472602916E-1,-3.454516296E0,1.311722260E0,4.340374146E0,5.700275945E0
6.571812916E-1,-3.622017975E0,1.690135345E0,4.262086945E0,5.843026341E0
6.671022916E-1,-4.960384827E0,2.349663849E0,5.278473358E0,7.615025858E0
6.770232916E-1,-5.926924896E0,2.826422424E0,5.704038391E0,8.697882295E0
