"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-8.296666201E-4,-1.719923401E0,5.311404877E0,9.035809937E0,1.062144150E1
9.090333362E-3,-1.481618958E0,5.120252380E0,8.449329529E0,9.990162594E0
1.901133335E-2,-1.398990784E0,4.905748444E0,7.740104370E0,9.269992377E0
2.893233334E-2,-1.536255341E0,4.874912567E0,7.266339569E0,8.883948657E0
3.885333333E-2,-1.724563751E0,5.004243622E0,7.141349487E0,8.889063329E0
4.877333331E-2,-1.838476868E0,5.103786621E0,7.191345520E0,9.008001191E0
5.869433330E-2,-1.800755310E0,5.097948761E0,7.320826263E0,9.100895474E0
6.861533329E-2,-1.740730133E0,5.090015259E0,7.591463470E0,9.304230992E0
7.853533339E-2,-1.588496704E0,5.089117126E0,7.847431183E0,9.487076002E0
8.845633338E-2,-1.442400513E0,5.109474792E0,8.089028778E0,9.675724183E0
9.837733337E-2,-1.298399963E0,5.135820007E0,8.258626099E0,9.811594909E0
1.082983334E-1,-1.011596375E0,5.027445374E0,8.261919250E0,9.724085762E0
1.182183333E-1,-7.611671448E-1,4.876110077E0,8.136629791E0,9.516331713E0
1.281393333E-1,-6.735992432E-1,4.743036804E0,7.950716400E0,9.282457936E0
1.380603333E-1,-6.792874146E-1,4.664899292E0,7.824379120E0,9.134748240E0
1.479813333E-1,-7.229965210E-1,4.645290070E0,7.683222656E0,9.007405519E0
1.579013333E-1,-8.478369141E-1,4.634362793E0,7.405400391E0,8.777021185E0
1.678220833E-1,-8.006849670E-1,4.714895325E0,7.510930939E0,8.904235953E0
1.777430833E-1,-7.658074951E-1,4.645290070E0,7.676786041E0,9.005455284E0
1.876640833E-1,-7.908055115E-1,4.393513641E0,7.824229431E0,9.008157507E0
1.975840833E-1,-7.092251587E-1,4.203858032E0,8.033194885E0,9.094374236E0
2.075050833E-1,-5.551954651E-1,4.053420868E0,8.283324738E0,9.238610904E0
2.174260834E-1,-3.598516846E-1,3.912264404E0,8.553662567E0,9.412781168E0
2.273460834E-1,-2.564167786E-1,3.782633972E0,8.867110748E0,9.643636366E0
2.372670834E-1,-2.435435486E-1,3.721860352E0,9.203610992E0,9.930660262E0
2.471880834E-1,-4.492158508E-1,3.881578217E0,9.376202087E0,1.015783490E1
2.571090834E-1,-4.894821167E-1,3.814817047E0,9.366472321E0,1.012537533E1
2.670290833E-1,-2.933898926E-2,3.312162323E0,9.278605042E0,9.852095795E0
2.769500833E-1,1.543290710E-1,3.132236481E0,9.206904144E0,9.726346013E0
2.868710833E-1,1.776805115E-1,3.111878815E0,9.139993286E0,9.656854425E0
2.967920833E-1,2.706372070E-1,3.141816559E0,9.151669006E0,9.679736638E0
3.067120833E-1,4.186793518E-1,3.136427765E0,9.246571655E0,9.773001530E0
3.166330834E-1,4.775070190E-1,3.123404846E0,9.342073059E0,9.861947061E0
3.265540834E-1,4.941224670E-1,3.079995117E0,9.406588898E0,9.910319956E0
3.364750834E-1,5.218148804E-1,3.035387878E0,9.447753296E0,9.937097800E0
3.463950834E-1,6.903643799E-1,2.944377136E0,9.231602783E0,9.714342471E0
3.563160833E-1,7.997868347E-1,2.948418732E0,8.998238068E0,9.502690162E0
3.662370833E-1,8.240364075E-1,2.933898926E0,8.968599701E0,9.472200352E0
3.761570833E-1,9.425898743E-1,2.785557404E0,9.112600250E0,9.575347985E0
3.860780833E-1,1.228345642E0,2.447560272E0,9.501940613E0,9.888693529E0
3.959990833E-1,1.412462769E0,2.004331970E0,9.909842377E0,1.020869108E1
4.059200833E-1,1.437909851E0,1.638043671E0,1.016955231E1,1.040050797E1
4.158400834E-1,1.344204712E0,1.545835419E0,1.040441391E1,1.060416533E1
4.257610834E-1,1.119821320E0,1.706750793E0,1.060649368E1,1.080114375E1
4.356820834E-1,8.496331787E-1,2.039359131E0,1.066666855E1,1.089305651E1
4.456030834E-1,7.056326294E-1,2.352058868E0,1.058419006E1,1.086531995E1
4.555230833E-1,6.730004883E-1,2.532882843E0,1.037627243E1,1.070212384E1
4.654440833E-1,6.276448059E-1,2.520159302E0,1.010368927E1,1.043214636E1
4.753650833E-1,5.001100159E-1,2.355052643E0,9.749226379E0,1.004210127E1
4.852850833E-1,2.950364685E-1,2.120939484E0,9.437574463E0,9.677460543E0
4.952060833E-1,2.091151428E-1,1.736987915E0,9.421557770E0,9.582620047E0
5.051270834E-1,2.624043274E-1,1.216370544E0,9.461824036E0,9.543297513E0
5.150480834E-1,3.884422302E-1,6.066883850E-1,9.589358826E0,9.616379820E0
5.249680834E-1,5.493576050E-1,4.445755005E-2,9.656718750E0,9.672434402E0
5.348890834E-1,5.203179932E-1,-8.427474976E-2,9.734407196E0,9.748667422E0
5.448100833E-1,4.644841003E-1,1.447489929E-1,9.944270782E0,9.956164881E0
5.547310833E-1,4.299060059E-1,3.701802063E-1,1.011581406E1,1.013170995E1
5.646510833E-1,4.646337891E-1,3.665876770E-1,1.024574387E1,1.026282312E1
5.745720833E-1,6.698570251E-1,1.652563477E-1,1.003752686E1,1.006121084E1
5.844930833E-1,8.217910767E-1,-1.193019104E-1,9.625134430E0,9.660889520E0
5.944140833E-1,5.819897461E-1,-2.746788025E-1,9.229207764E0,9.251618045E0
6.043340834E-1,-4.011657715E-2,-2.258802795E-1,9.000034332E0,9.002957804E0
6.142550834E-1,-9.264234924E-1,-1.501377869E-1,8.916807404E0,8.966061349E0
6.241760834E-1,-1.883682861E0,5.807922363E-2,9.134305115E0,9.326690959E0
6.340970834E-1,-3.101999359E0,2.122586060E-1,9.562714233E0,1.005549388E1
6.440170833E-1,-3.134930878E0,-1.555265808E-1,9.610914001E0,1.011047220E1
6.539380833E-1,-2.833457794E0,-8.020321655E-1,9.822873230E0,1.025478314E1
6.638590833E-1,-2.529140625E0,-1.209634552E0,9.473050690E0,9.879193156E0
6.737790833E-1,-2.591860199E0,-1.191372528E0,9.021888885E0,9.462113234E0
6.837000833E-1,-3.064427490E0,-3.647914124E-1,8.527916107E0,9.069131257E0
6.936210834E-1,-3.221600647E0,3.496728516E-1,7.732769623E0,8.384313202E0
7.035420834E-1,-2.932402039E0,4.614903259E-1,6.863527222E0,7.477965028E0
7.134620834E-1,-2.723137207E0,2.891986084E-1,6.697223053E0,7.235461886E0
7.233830834E-1,-2.765798492E0,8.831634521E-3,6.650071106E0,7.202302758E0
7.333040833E-1,-3.012934570E0,-3.156935120E-1,6.195915527E0,6.896869314E0
7.432250833E-1,-4.068689117E0,-1.068478088E0,5.892047424E0,7.239620115E0
7.531450833E-1,-7.107968903E0,-2.826721802E0,5.207221527E0,9.253579529E0
7.630660833E-1,-8.090525665E0,-4.924459534E0,3.794609070E0,1.020323308E1
7.729870833E-1,-8.504265289E0,-6.416556702E0,3.377576294E0,1.117598987E1
7.829080833E-1,-8.209378510E0,-7.238946533E0,2.895129547E0,1.132157310E1
7.928280834E-1,-7.457791443E0,-7.505991211E0,3.073408813E0,1.101836644E1
8.027490834E-1,-6.701264648E0,-7.103328552E0,3.162772980E0,1.026486032E1
8.126700834E-1,-6.165977783E0,-6.059998169E0,3.095862122E0,9.182985468E0
8.225900833E-1,-5.958658905E0,-5.090015259E0,3.357068939E0,8.525478470E0
8.325110833E-1,-5.840853882E0,-4.689148865E0,3.977977753E0,8.481037563E0
8.424320833E-1,-5.721402283E0,-4.843178558E0,4.744384003E0,8.871302170E0
8.523530833E-1,-5.804778900E0,-5.096601562E0,5.397326202E0,9.423477898E0
