"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"

1.266883562E1,1.747765503E0,-8.980574799E0,1.464404755E0,9.265521532E0
1.267875662E1,2.127226410E0,-8.390052795E0,1.485361176E0,8.782048504E0
1.268867662E1,2.621648254E0,-8.005652161E0,1.606908417E0,8.575876675E0
1.269859762E1,2.068398743E0,-7.692503357E0,1.736089783E0,8.152722796E0
1.270851863E1,1.379531250E0,-7.530091095E0,1.808239746E0,7.866073312E0
1.271843962E1,1.299747162E0,-7.454647980E0,1.940564575E0,7.811972226E0
1.272836062E1,1.442849579E0,-7.284751282E0,2.073188782E0,7.710222297E0
1.273828062E1,9.249266052E-1,-7.024143219E0,1.986069946E0,7.357890392E0
1.274820162E1,6.905140686E-1,-6.609655151E0,2.021546173E0,6.946293964E0
1.275812262E1,1.526226196E0,-6.262377319E0,2.159858551E0,6.797920642E0
1.276804362E1,1.493144989E0,-5.875431976E0,2.148931274E0,6.431802896E0
1.277796362E1,8.385562134E-1,-5.377866669E0,2.297871552E0,5.908031829E0
1.278788462E1,-1.487905884E-1,-4.952601013E0,2.133064270E0,5.394474823E0
1.279780562E1,1.061293030E0,-4.533023529E0,1.583407288E0,4.917501789E0
1.280772663E1,1.940714264E0,-4.441264343E0,8.214916992E-1,4.915897622E0
1.281764762E1,1.801952820E0,-5.019511871E0,4.320016479E-1,5.350622283E0
1.282756762E1,2.051034851E0,-6.131699066E0,5.519023132E-1,6.489150450E0
1.283748862E1,2.619103546E0,-7.155120850E0,1.236877899E0,7.719153107E0
1.284740962E1,2.243983612E0,-8.248896332E0,2.713407440E0,8.968964995E0
1.285733062E1,1.900298309E0,-8.858877869E0,4.218677216E0,9.994402844E0
1.286725162E1,2.154469757E0,-8.716374207E0,3.989054718E0,9.824941567E0
1.287717162E1,2.389630737E0,-8.308173065E0,2.854863281E0,9.104192391E0
1.288709262E1,2.534529419E0,-7.873926086E0,2.107168121E0,8.535965609E0
1.289701362E1,3.017125854E0,-7.853418732E0,2.803819427E0,8.867955660E0
1.290693463E1,3.109783173E0,-8.619974670E0,3.731290741E0,9.894303679E0
1.291685562E1,2.808010712E0,-1.032837204E1,3.765868835E0,1.134645148E1
1.292677562E1,2.312990112E0,-1.240605148E1,4.612657928E0,1.343639274E1
1.293669662E1,1.974843292E0,-1.438493637E1,5.518424377E0,1.553317122E1
1.294661762E1,2.571203156E0,-1.647788406E1,6.017935638E0,1.772984203E1
1.295653862E1,3.121009827E0,-1.844718887E1,6.268065491E0,1.973139946E1
1.296645962E1,3.349434814E0,-2.055929672E1,6.573131104E0,2.184283516E1
1.297637962E1,3.313060455E0,-2.218341934E1,7.075785828E0,2.351908179E1
1.298630062E1,3.726051636E0,-2.430256256E1,7.122638397E0,2.559746053E1
1.299622162E1,3.990850983E0,-2.522883636E1,7.132517853E0,2.651968866E1
1.300614263E1,4.193679199E0,-2.544184341E1,7.471712494E0,2.684587173E1
1.301606262E1,4.176165619E0,-2.412263672E1,7.073390808E0,2.548283381E1
1.302598362E1,3.634741516E0,-2.156310928E1,6.154451752E0,2.271687268E1
1.303590508E1,3.063229980E0,-1.914174454E1,5.267845459E0,2.008830400E1
1.304582608E1,3.015030212E0,-1.684791458E1,4.107757874E0,1.760159958E1
1.305574708E1,2.766097870E0,-1.448687439E1,3.084934845E0,1.506776858E1
1.306566708E1,2.121987305E0,-1.190594147E1,2.024090881E0,1.226177867E1
1.307558808E1,1.523531799E0,-9.307494965E0,1.317560120E0,9.522949980E0
1.308550908E1,1.204844513E0,-6.889123993E0,1.084943848E0,7.077342923E0
1.309543008E1,1.166673889E0,-4.630021820E0,1.423988800E0,4.982567021E0
1.310535108E1,1.132395172E0,-2.430645447E0,2.211800537E0,3.475977234E0
1.311527108E1,2.570155334E-1,-7.909552002E-1,2.615361328E0,2.744409224E0
1.312519208E1,-9.021739197E-1,3.592529297E-1,2.467468872E0,2.651675524E0
1.313511308E1,-1.286574554E0,1.481469269E0,1.831740875E0,2.684268972E0
1.314503408E1,-1.098116455E0,2.352807312E0,1.732197876E0,3.121229161E0
1.315495508E1,-1.204844513E0,2.753524017E0,2.030078430E0,3.626949579E0
1.316487508E1,-1.346599731E0,3.047812042E0,2.375859375E0,4.092333912E0
1.317479608E1,-1.256187744E0,3.552263031E0,3.031645660E0,4.836057868E0
1.318471708E1,-9.093589783E-1,3.995341644E0,3.138224030E0,5.161214844E0
1.319463808E1,-5.939648438E-1,4.092789001E0,2.187700653E0,4.678648330E0
1.320455808E1,5.209167480E-2,3.396437073E0,8.677455139E-1,3.505920793E0
1.321447908E1,5.872288513E-1,8.726852417E-1,-3.817062378E-2,1.052556056E0
1.322440008E1,4.059558105E-1,-9.458830261E-1,-5.632786560E-1,1.173361693E0
1.323432108E1,1.725910950E-1,-1.866768036E0,-8.425978088E-1,2.055378713E0
1.324424208E1,-1.767823792E-1,-2.071542206E0,-1.078956299E0,2.342367566E0
1.325416208E1,-3.703298950E-1,-1.817071381E0,-1.088087311E0,2.150075959E0
1.326408308E1,-5.369334412E-1,-1.408870239E0,-1.017134857E0,1.818729279E0
1.327400408E1,-5.602848816E-1,-1.063538361E0,-9.660910034E-1,1.542194806E0
1.328392508E1,-6.770420837E-1,-8.120613098E-1,-3.207829285E-1,1.104867069E0
1.329384608E1,-7.140151978E-1,-9.238787842E-1,1.233435059E0,1.698449809E0
1.330376608E1,-6.610253906E-1,-1.138382721E0,2.620899811E0,2.932914183E0
1.331368708E1,-7.469467163E-1,-1.364562378E0,3.430715790E0,3.766931206E0
1.332360808E1,-1.609153748E-1,-1.626517639E0,2.541115723E0,3.021377584E0
1.333352908E1,1.861079865E0,-2.273172913E0,2.978805542E-2,2.937996031E0
1.334344908E1,3.578009491E0,-4.681215363E0,1.309925995E0,6.035879000E0
1.335337008E1,5.517376556E0,-7.079528046E0,4.237388306E0,9.925553943E0
1.336329108E1,6.685996399E0,-9.181007996E0,6.230044556E0,1.295403068E1
1.337321208E1,6.028114471E0,-1.244901215E1,8.288563843E0,1.612502273E1
1.338313308E1,4.739294586E0,-1.834270615E1,8.138725433E0,2.061927820E1
1.339305308E1,2.714006195E0,-2.827500183E1,4.815635834E0,2.881027432E1
1.340297408E1,1.518143005E0,-4.035024124E1,7.212900696E0,4.101795537E1
1.341289508E1,1.482217712E0,-5.119908096E1,1.570204742E1,5.357328769E1
1.342281608E1,-8.318202209E-1,-4.879478073E1,1.342827576E1,5.061562151E1
1.343273708E1,-4.529131622E0,-3.157429092E1,6.148613892E0,3.248467844E1
1.344265708E1,-4.912783813E-1,-2.343811020E1,5.684429169E0,2.412258483E1
1.345257808E1,3.788771210E0,-2.176084808E1,7.932005310E0,2.346925659E1
1.346249908E1,4.367318115E0,-2.120415573E1,3.546125793E0,2.193774592E1
1.347242008E1,4.165238342E0,-2.109218857E1,1.592837677E0,2.155844987E1
1.348234108E1,4.840035095E0,-2.053684341E1,2.867886200E0,2.129348840E1
1.349226108E1,6.011948090E0,-1.939890976E1,4.180356903E0,2.073491267E1
1.350218208E1,6.876699829E0,-1.690329941E1,3.800147552E0,1.864005507E1
1.351210308E1,6.566245422E0,-1.383827316E1,2.808160400E0,1.557238414E1
1.352202408E1,5.238506470E0,-1.089928482E1,1.883533173E0,1.223862970E1
1.353194508E1,3.600313110E0,-8.302484894E0,1.637295227E0,9.196425695E0
1.354186508E1,2.063608704E0,-6.235133972E0,1.788181458E0,6.806832557E0
1.355178608E1,3.993695068E-1,-4.740043030E0,1.901495819E0,5.122810779E0
1.356170708E1,-9.301657104E-1,-3.611240387E0,1.765728149E0,4.126022453E0
1.357162808E1,-1.931732941E0,-2.608924713E0,1.738933868E0,3.682658186E0
1.358154808E1,-2.098186798E0,-1.842518463E0,1.671274567E0,3.254292673E0
1.359146908E1,-1.253343658E0,-7.767347717E-1,1.169667664E0,1.882102461E0
1.360139008E1,-9.607022095E-1,3.805087280E-1,5.641767883E-1,1.177298210E0
1.361131108E1,-1.055155792E0,1.865420837E0,3.966751099E-1,2.179564128E0
1.362123208E1,-8.601113892E-1,3.005300446E0,1.536704407E0,3.483257499E0
1.363115208E1,-6.017486572E-1,3.442241821E0,3.229384460E0,4.758156596E0
1.364107308E1,-6.215075684E-1,3.929179230E0,3.675157471E0,5.415856674E0
1.365099408E1,-8.268804932E-1,4.414919128E0,2.901566162E0,5.347366497E0
1.366091508E1,-1.219064941E0,4.682861938E0,1.771865387E0,5.153137124E0
1.367083608E1,-1.678459625E0,4.575984192E0,1.664538574E-1,4.876942170E0
1.368075608E1,-1.972897339E0,3.059487762E0,-9.638456726E-1,3.765871447E0
1.369067708E1,-1.768422546E0,5.637277222E-1,-1.835333405E0,2.610278903E0
1.370059808E1,-1.601968689E0,-9.340576172E-1,-2.294877777E0,2.950462900E0
1.371051908E1,-1.164727936E0,-1.517693939E0,-2.194436646E0,2.911277769E0
1.372044008E1,-8.048762512E-1,-1.460363159E0,-1.817520447E0,2.466549596E0
1.373036008E1,-5.915698242E-1,-1.589095459E0,-1.118923187E0,2.031543338E0
1.374028108E1,-4.203259277E-1,-1.943558350E0,5.239105225E-2,1.989180174E0
1.375020208E1,-9.400451660E-2,-2.667453003E0,1.262923737E0,2.952815392E0
1.376012308E1,4.260140991E-1,-3.302582245E0,1.819466400E0,3.794600833E0
1.377004308E1,1.158291321E0,-3.486250305E0,1.611099701E0,4.011386571E0
1.377996408E1,9.858499146E-1,-2.800526276E0,1.508712616E0,3.330324494E0
1.378988508E1,7.842192078E-1,-1.983375549E0,1.661844177E0,2.703794446E0
1.379980608E1,1.373394012E0,-3.163521423E0,3.657045135E0,5.026734331E0
1.380972708E1,2.875819702E0,-7.035369873E0,6.342610474E0,9.899266429E0
1.381964708E1,5.697751465E0,-1.056398209E1,6.031407623E0,1.343279447E1
1.382956808E1,8.333620148E0,-1.340178085E1,5.025948486E0,1.656252134E1
1.383948908E1,8.521329803E0,-1.894984360E1,5.851481781E0,2.158586280E1
1.384941008E1,5.186115417E0,-2.184227875E1,1.369202728E0,2.249123496E1
1.385933108E1,2.959196320E0,-2.325264587E1,-1.132095795E0,2.346750996E1
1.386925108E1,1.885030060E0,-2.764047134E1,3.261268158E0,2.789596502E1
1.387917208E1,1.170865173E0,-3.279410431E1,1.074465637E1,3.452928964E1
1.388909308E1,8.764274597E-1,-3.635549835E1,1.830438583E1,4.071290860E1
1.389901408E1,-2.609074402E0,-3.632002213E1,1.285481827E1,3.861602814E1
1.390893408E1,-5.514981537E0,-2.801259750E1,4.903802490E-1,2.855452877E1
1.391885508E1,-7.499404907E-1,-2.154739197E1,4.329297180E0,2.199080093E1
1.392877608E1,6.032455444E0,-2.088262436E1,9.999356232E0,2.392617069E1
1.393869708E1,7.756570129E0,-2.076781311E1,4.472549286E0,2.261570558E1
1.394861808E1,5.951623535E0,-2.023087967E1,1.233135681E0,2.112417900E1
1.395853808E1,5.114264832E0,-1.993868729E1,3.141816559E0,2.082253507E1
1.396845908E1,4.933440857E0,-1.951297256E1,5.344037018E0,2.082435278E1
1.397838008E1,5.833818512E0,-1.835408249E1,4.128414917E0,1.969643603E1
1.398830108E1,5.108876038E0,-1.577554459E1,2.479144592E0,1.676647188E1
1.399822208E1,3.045117645E0,-1.292038193E1,1.711840210E0,1.338429705E1
1.400814208E1,9.925859070E-1,-1.020383102E1,1.708547058E0,1.039338864E1
1.401806308E1,-8.952882385E-1,-7.918982391E0,1.412313080E0,8.093605586E0
1.402798408E1,-2.228116608E0,-5.933810577E0,9.231303406E-1,6.405215157E0
1.403790458E1,-2.212848358E0,-4.191882935E0,1.535207520E0,4.982513675E0
1.404782558E1,-2.206711121E0,-2.216590576E0,2.737956390E0,4.156832081E0
1.405774558E1,-2.887645111E0,-5.348377991E-1,3.422632599E0,4.509873575E0
1.406766658E1,-3.489842834E0,1.094972992E0,2.117197266E0,4.226167664E0
1.407758758E1,-3.358116760E0,2.517913971E0,-2.113604736E-1,4.202560195E0
1.408750858E1,-2.252815247E0,2.794538727E0,-1.052611084E0,3.740670171E0
1.409742958E1,-1.293011169E0,2.736010437E0,-7.209008789E-1,3.110840573E0
1.410734958E1,-6.463558960E-1,2.954106903E0,3.755690002E-1,3.047224247E0
1.411727058E1,-3.457809448E-2,3.319197693E0,1.151555328E0,3.513452525E0
1.412719158E1,4.275109863E-1,3.463946686E0,1.177601166E0,3.683535909E0
1.413711258E1,9.047186279E-1,3.447181549E0,1.197060699E0,3.759591832E0
1.414703258E1,1.440604248E0,3.160677338E0,1.235979767E0,3.686850664E0
1.415695358E1,2.072590027E0,2.400258636E0,1.121767273E0,3.363812236E0
1.416687458E1,2.897823944E0,8.108638000E-1,7.854167175E-1,3.109945841E0
1.417679558E1,2.608625336E0,-8.346643066E-1,4.652325439E-1,2.778134620E0
1.418671658E1,6.343807983E-1,-1.620979156E0,4.207749939E-1,1.790827747E0
1.419663658E1,-9.325607300E-1,-1.648222504E0,8.484356689E-1,2.075126507E0
1.420655758E1,-1.749412079E0,-1.474433899E0,9.943821716E-1,2.494633009E0
1.421647858E1,-1.991458740E0,-1.349144440E0,4.963677979E-1,2.456110670E0
1.422639958E1,-2.038760376E0,-1.212478638E0,1.272354126E-1,2.375465674E0
1.423632058E1,-2.080972595E0,-1.090332642E0,2.754272461E-2,2.349474582E0
1.424624058E1,-1.857487335E0,-1.163530426E0,8.415499878E-1,2.347822105E0
1.425616158E1,-6.155200195E-1,-1.340312805E0,2.180216217E0,2.632232145E0
1.426608258E1,1.749262390E0,-2.501148834E0,3.185974731E0,4.412040275E0
1.427600358E1,3.058140564E0,-4.990771637E0,2.772384796E0,6.476584185E0
1.428592458E1,4.291276245E0,-8.022866364E0,4.575086060E0,1.018395056E1
1.429584458E1,6.202501831E0,-1.121602615E1,9.269773407E0,1.581767905E1
1.430576558E1,6.710545349E0,-1.567809723E1,1.073043594E1,2.014885622E1
1.431568658E1,4.249662781E0,-2.057261902E1,7.079977112E0,2.216795802E1
1.432560758E1,1.480870514E0,-2.744482819E1,4.635859680E-1,2.748866100E1
1.433552758E1,1.110690308E-1,-2.948433701E1,1.524878998E0,2.952395165E1
1.434544858E1,-7.252418518E-1,-2.538765610E1,9.157656555E0,2.699855054E1
1.435536958E1,-8.146060181E-1,-2.130295029E1,7.689210205E0,2.266281597E1
1.436529058E1,2.745291138E-1,-2.306149338E1,5.395080872E0,2.368574974E1
1.437521158E1,2.993774414E-3,-2.713497253E1,9.732610931E0,2.882759891E1
1.438513158E1,-7.439529419E-2,-3.111908752E1,1.351479584E1,3.392716978E1
1.439505258E1,-4.808001709E-1,-3.290741867E1,1.073238190E1,3.461666352E1
1.440497358E1,-8.666976929E-1,-2.876433426E1,4.504582672E0,2.912781069E1
1.441489458E1,3.827540588E-1,-2.367731277E1,6.829398193E0,2.464553348E1
1.442481558E1,2.326312408E0,-2.065674408E1,9.525890808E0,2.286603160E1
1.443473558E1,3.830384674E0,-1.983974304E1,6.325995026E0,2.117322516E1
1.444465658E1,4.644541626E0,-1.901929916E1,3.971990204E0,1.997704217E1
1.445457758E1,5.395679626E0,-1.754621246E1,3.971690826E0,1.878183320E1
1.446449858E1,5.664221191E0,-1.611234421E1,3.540437622E0,1.744206800E1
1.447441958E1,4.994962921E0,-1.367316650E1,2.198328552E0,1.472201702E1
1.448433958E1,3.923790436E0,-1.077384567E1,1.059047699E0,1.151492353E1
1.449426058E1,2.278412018E0,-8.274642792E0,5.119354248E-1,8.597845808E0
1.450418158E1,7.705975342E-1,-5.930068359E0,3.649411011E-1,5.991052772E0
1.451410258E1,-1.179547119E-1,-4.005370789E0,7.068301392E-1,4.068970056E0
1.452402358E1,-7.114704895E-1,-2.753374329E0,1.481469269E0,3.206557600E0
1.453394358E1,-1.424437866E0,-1.660946045E0,1.798809357E0,2.832574818E0
1.454386458E1,-2.126328278E0,-3.891906738E-1,1.165177002E0,2.455682954E0
1.455378558E1,-2.223027191E0,1.705702972E0,3.143463135E-1,2.819589709E0
1.456370658E1,-2.086511078E0,3.393143921E0,-5.029541016E-2,3.983652065E0
1.457362658E1,-1.849703522E0,3.594175873E0,1.306782532E-1,4.044326907E0
1.458354758E1,-1.613045654E0,3.700903931E0,4.514611816E-1,4.062317489E0
1.459346858E1,-1.095122681E0,4.077969818E0,9.527687073E-1,4.328614066E0
1.460338958E1,-2.839595032E-1,4.343667297E0,1.481618958E0,4.598181524E0
1.461331058E1,6.262976074E-1,4.216581573E0,1.316961365E0,4.461636033E0
1.462323058E1,2.048789520E0,2.835703125E0,1.003812561E0,3.639559090E0
1.463315158E1,2.437830505E0,7.738906860E-2,6.553372192E-1,2.525563999E0
1.464307258E1,1.758393402E0,-1.370549927E0,2.052232361E-1,2.238854849E0
1.465299358E1,7.899073792E-1,-1.946851501E0,6.586303711E-3,2.101006382E0
1.466291458E1,-1.175056458E-1,-2.288291473E0,-9.879455566E-3,2.291327791E0
1.467283458E1,-8.846603394E-1,-2.301913147E0,1.923500061E-1,2.473545346E0
1.468275558E1,-1.517993317E0,-2.026785278E0,6.900650024E-1,2.624567008E0
1.469267658E1,-1.760039978E0,-1.538051605E0,8.840615845E-1,2.498981462E0
1.470259758E1,-1.841620331E0,-9.946815491E-1,7.934999084E-1,2.238436716E0
1.471251858E1,-2.045795746E0,-4.336482239E-1,5.782475281E-1,2.169723766E0
1.472243858E1,-1.818867645E0,1.422042847E-2,1.591191101E-1,1.825869826E0
1.473235958E1,-1.187031555E0,4.138893127E-1,-3.984713745E-1,1.318759915E0
1.474228058E1,-1.827699280E-1,7.349716187E-1,-6.077362061E-1,9.710465606E-1
1.475220158E1,1.314865723E0,1.061891785E0,-2.177970886E-1,1.704089670E0
1.476212158E1,3.480412445E0,-3.007246399E-1,2.244582367E0,4.152331405E0
1.477204258E1,4.352349243E0,-4.830604706E0,5.110522614E0,8.270134651E0
1.478196358E1,3.905079346E0,-8.358169098E0,4.636458435E0,1.032498824E1
1.479188458E1,3.848497009E0,-9.523196411E0,3.175945587E0,1.075122456E1
