"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"



3.851220958E0,6.503525848E0,-5.770949249E0,7.719447327E-1,8.729009243E0
3.861141958E0,6.419999542E0,-5.760021973E0,8.455915833E-1,8.666560585E0
3.871061958E0,6.383325806E0,-5.759273529E0,9.813592529E-1,8.653273710E0
3.880982958E0,6.350993042E0,-5.752687225E0,1.111438751E0,8.640822821E0
3.890903958E0,6.354435883E0,-5.742508392E0,1.188977509E0,8.646902656E0
3.900824958E0,6.371500397E0,-5.755381622E0,1.249302063E0,8.676473395E0
3.910745958E0,6.352938995E0,-5.799090729E0,1.328487396E0,8.703686915E0
3.920666958E0,6.330785065E0,-5.852679291E0,1.362466736E0,8.728631624E0
3.930587958E0,6.350693665E0,-5.896388397E0,1.342558136E0,8.769331132E0
3.940508958E0,6.378236389E0,-5.889652405E0,1.314266968E0,8.780501270E0
3.950429958E0,6.361770630E0,-5.835764465E0,1.325044556E0,8.734072104E0
3.960350958E0,6.330635376E0,-5.857918396E0,1.327738953E0,8.726685678E0
3.970270958E0,6.290518799E0,-5.958808594E0,1.306632843E0,8.762723093E0
3.980191958E0,6.241271210E0,-6.029910736E0,1.300794983E0,8.775269647E0
3.990112958E0,6.228248291E0,-6.109694824E0,1.284927979E0,8.818757709E0
4.000033958E0,6.277645569E0,-6.264472961E0,1.244362335E0,8.955495128E0
4.009954958E0,6.372697906E0,-6.432872772E0,1.134490814E0,9.125798602E0
4.019875958E0,6.492299194E0,-6.547684021E0,1.008153534E0,9.275693420E0
4.029796958E0,6.594835968E0,-6.650071106E0,9.623487854E-1,9.414957373E0
4.039717958E0,6.702462158E0,-6.763684845E0,9.488768005E-1,9.569263234E0
4.049637958E0,6.777007141E0,-6.881938934E0,9.761201477E-1,9.707817460E0
4.059558958E0,6.877148895E0,-6.944059753E0,1.055155792E0,9.829979478E0
4.069479958E0,6.966662750E0,-6.956633606E0,1.184187469E0,9.916221103E0
4.079400958E0,7.054380341E0,-6.938820648E0,1.322350159E0,9.982991732E0
4.089321958E0,7.167245636E0,-6.849755859E0,1.461560669E0,1.002121375E1
4.099242958E0,7.247778168E0,-6.703509979E0,1.550176392E0,9.993516961E0
4.109163958E0,7.391928406E0,-6.600673828E0,1.542093201E0,1.002933457E1
4.119084958E0,7.634723511E0,-6.715036011E0,1.427431641E0,1.026734010E1
4.129004958E0,7.921976166E0,-7.034771118E0,1.137634277E0,1.065551138E1
4.138925958E0,8.074209595E0,-7.319628754E0,8.032296753E-1,1.092771722E1
4.148846958E0,8.019722900E0,-7.341333618E0,5.233117676E-1,1.088508107E1
4.158767958E0,8.059989166E0,-7.121740265E0,3.475772095E-1,1.076119973E1
4.168688958E0,8.272098083E0,-6.887926483E0,3.591032410E-1,1.077033394E1
4.178609958E0,8.531059570E0,-6.741979980E0,4.580474854E-1,1.088315574E1
4.188530958E0,8.753347321E0,-6.841972046E0,6.171665955E-1,1.112719935E1
4.198451958E0,8.882229309E0,-7.186854858E0,8.538244629E-1,1.145748212E1
4.208372958E0,8.893905029E0,-7.475005646E0,1.121467896E0,1.167197268E1
