"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"

3.025813625E0,-1.238000565E1,-1.905238037E0,6.521189117E0,1.412162807E1
3.035734625E0,-1.134595596E1,-2.793341217E0,6.062842255E0,1.316402401E1
3.045655625E0,-9.191336517E0,-2.736459503E0,5.351371765E0,1.098207892E1
3.055576625E0,-6.870562592E0,-2.230811005E0,4.978646851E0,8.773144962E0
3.065496625E0,-5.658083954E0,-1.085692291E0,5.124443665E0,7.710548920E0
3.075417625E0,-5.055736542E0,-7.918533325E-1,5.860463104E0,7.780265514E0
3.085338625E0,-5.591023407E0,-5.496569824E-1,6.779551849E0,8.804770798E0
3.095259625E0,-6.141877899E0,2.986289978E-1,6.553521881E0,8.986684175E0
3.105180625E0,-5.994584198E0,4.285588074E-1,6.288722534E0,8.698662740E0
3.115100625E0,-6.052364044E0,3.233276367E-2,6.530020752E0,8.903556983E0
3.125021625E0,-5.634882202E0,-6.704557800E-1,6.319708099E0,8.493533943E0
3.134942625E0,-5.153782654E0,-1.105151825E0,5.732479248E0,7.787435684E0
3.144863625E0,-4.744683380E0,-1.370100861E0,5.666915588E0,7.516856326E0
3.154783625E0,-4.965623932E0,-2.122136993E0,6.060447235E0,8.117259830E0
3.164704625E0,-5.510041809E0,-2.828368378E0,6.239624634E0,8.791651949E0
3.174625625E0,-5.657634888E0,-2.615960083E0,6.178701324E0,8.776584172E0
3.184546625E0,-4.927902374E0,-1.450932770E0,6.092779999E0,7.969403731E0
3.194466625E0,-4.783452759E0,4.525090027E-1,5.903872833E0,7.611957641E0
3.204387625E0,-4.967270508E0,2.148332520E0,5.802084503E0,7.934311154E0
3.214308625E0,-5.618566132E0,2.949915619E0,5.971083069E0,8.713444815E0
3.224229625E0,-6.464756470E0,3.247945862E0,6.101461945E0,9.464146364E0
3.234149625E0,-8.411009216E0,3.102747803E0,6.206693115E0,1.090390569E1
3.244070625E0,-9.307494965E0,2.946921844E0,6.077811127E0,1.150015648E1
3.253991625E0,-1.053239777E1,2.319875793E0,6.238277435E0,1.245910638E1
3.263912625E0,-1.249870880E1,1.876348114E0,6.481521606E0,1.420382083E1
3.273832625E0,-1.290077271E1,1.777254181E0,5.967041473E0,1.432459957E1
3.283753625E0,-1.090766739E1,1.875599670E0,4.863087158E0,1.208903217E1
3.293674625E0,-9.842033386E0,2.311493225E0,3.812571716E0,1.080482879E1
3.303595625E0,-1.025996429E1,2.719394989E0,3.233575745E0,1.109585456E1
3.313515625E0,-1.075199112E1,2.412682800E0,3.089874573E0,1.144437312E1
3.323436625E0,-1.051518356E1,1.582958221E0,2.759062500E0,1.098577571E1
3.333357625E0,-1.000773880E1,7.879614258E-1,2.459086304E0,1.033551279E1
3.343278625E0,-9.051976318E0,4.486170959E-1,1.970352631E0,9.274794987E0
3.353198625E0,-9.617350616E0,-1.333726501E-1,2.581831055E0,9.958768636E0
3.363119625E0,-1.092757599E1,-4.656816101E-1,2.041604462E0,1.112640666E1
3.373040625E0,-1.179606995E1,-4.902305603E-1,1.047521667E0,1.185263236E1
3.382961625E0,-1.185594543E1,-7.955955505E-1,9.419911194E-1,1.191988933E1
3.392881625E0,-1.103475311E1,-1.377136230E0,8.815168762E-1,1.115523879E1
