"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"


4.755213792E0,3.960314484E0,-1.007554779E1,1.001267853E0,1.087213371E1
4.765134792E0,3.885170746E0,-1.011267059E1,7.090754700E-1,1.085649328E1
4.775055792E0,3.772455139E0,-1.006970993E1,4.698728943E-1,1.076342215E1
4.784976792E0,3.760030975E0,-9.898765411E0,3.550616455E-1,1.059478449E1
4.794897792E0,4.005370789E0,-9.473200378E0,3.390449524E-1,1.029074691E1
4.804819792E0,4.278852081E0,-8.920699310E0,4.480183411E-1,9.903947281E0
4.814740792E0,4.580175476E0,-8.495733032E0,6.384223938E-1,9.672800541E0
4.824661792E0,4.892575836E0,-8.231831818E0,7.946974182E-1,9.608948817E0
4.834582792E0,5.209317169E0,-8.053702240E0,9.113049316E-1,9.634810938E0
4.844503792E0,5.507497101E0,-7.887847137E0,9.735754395E-1,9.669462545E0
4.854424792E0,5.829028473E0,-7.702532501E0,1.013991394E0,9.712608219E0
4.864345792E0,6.137836304E0,-7.482639771E0,1.051563263E0,9.734922584E0
4.874266792E0,6.440806274E0,-7.238347778E0,1.122515717E0,9.753855933E0
4.884187792E0,6.772965546E0,-7.014263763E0,1.212029572E0,9.825577546E0
4.894108792E0,7.068900146E0,-6.776857452E0,1.322649536E0,9.881525591E0
4.904029792E0,7.258705444E0,-6.574927368E0,1.492845612E0,9.906919937E0
4.913950792E0,7.303761749E0,-6.480773163E0,1.663341064E0,9.905153203E0
4.923871792E0,7.338938599E0,-6.524931335E0,1.741927643E0,9.973417699E0
4.933792792E0,7.428602142E0,-6.657256165E0,1.729952545E0,1.012402713E1
4.943713792E0,7.451504517E0,-6.786587219E0,1.775158539E0,1.023395688E1
4.953634792E0,7.352410583E0,-6.882088623E0,1.889520721E0,1.024652984E1
4.963555792E0,7.203021240E0,-6.980883179E0,2.022593994E0,1.023265026E1
4.973476792E0,7.062014465E0,-7.103029175E0,2.148931274E0,1.024416797E1
4.983397792E0,6.945556641E0,-7.255112915E0,2.266885986E0,1.029641649E1
4.993318792E0,6.825356598E0,-7.397317200E0,2.363135834E0,1.033877195E1
5.003240792E0,6.684050446E0,-7.518415375E0,2.403851166E0,1.034319102E1
5.013161792E0,6.467301178E0,-7.612419891E0,2.371668091E0,1.026643710E1
5.023082792E0,6.209686890E0,-7.648644562E0,2.302062836E0,1.011738445E1
5.033003792E0,6.004613342E0,-7.626191254E0,2.178120575E0,9.947782852E0
5.042924792E0,5.927673340E0,-7.528893585E0,2.052831116E0,9.799778846E0
5.052845792E0,5.974226532E0,-7.375312958E0,2.003284149E0,9.700503660E0
5.062766792E0,6.130202179E0,-7.182214508E0,2.028880920E0,9.658154160E0
5.072687792E0,6.307433624E0,-6.959028625E0,2.162103882E0,9.637763824E0
5.082608792E0,6.431076508E0,-6.766229553E0,2.371219025E0,9.631369948E0
5.092529792E0,6.532715149E0,-6.627168732E0,2.598895569E0,9.661779898E0
5.102450792E0,6.602170715E0,-6.483766937E0,2.764900360E0,9.657772303E0
5.112371792E0,6.586603088E0,-6.413862305E0,2.860850830E0,9.628366288E0
