"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.263557000E-3,5.547161102E0,9.696913958E-1,6.512066841E0,8.609199280E0
3.641474000E-3,6.496513367E0,1.272981644E0,6.222535133E0,9.085434039E0
6.019391000E-3,7.006184578E0,1.467996716E0,6.216553211E0,9.480884480E0
8.397307000E-3,7.124629498E0,1.563111424E0,6.505486488E0,9.773690053E0
1.079907800E-2,7.000801086E0,1.586441398E0,6.940382004E0,9.984834226E0
1.322449500E-2,6.889534473E0,1.591227055E0,7.246663570E0,1.012481218E1
1.564991100E-2,6.784250259E0,1.610967875E0,7.416553974E0,1.017971227E1
1.807532800E-2,6.705885410E0,1.605584025E0,7.500302792E0,1.018829432E1
2.050074500E-2,6.658029079E0,1.603789330E0,7.506882668E0,1.016143586E1
2.292616100E-2,6.606583118E0,1.588235974E0,7.447062492E0,1.008107999E1
2.535157800E-2,6.578467846E0,1.510469317E0,7.390830994E0,1.000910283E1
2.777704700E-2,6.526423931E0,1.476969719E0,7.334599495E0,9.928343197E0
3.020267200E-2,6.503692150E0,1.368694544E0,7.274180889E0,9.853174308E0
3.262829700E-2,6.525825500E0,1.235294700E0,6.799803734E0,9.505244988E0
3.505392200E-2,7.017550468E0,1.182652593E0,5.200799942E0,8.814363379E0
3.747157800E-2,7.074978352E0,1.177268744E0,5.441876888E0,9.003071944E0
3.986532800E-2,6.908677101E0,1.168893814E0,6.006583214E0,9.229039708E0
4.225907800E-2,6.687341213E0,1.173081279E0,6.431309223E0,9.351919082E0
4.465282800E-2,6.585047722E0,1.138983607E0,6.612565517E0,9.401391380E0
4.704267200E-2,6.529414654E0,1.118644595E0,6.763313293E0,9.467155230E0
4.942079700E-2,6.619145870E0,1.073180914E0,6.843472958E0,9.581123705E0
5.179892200E-2,6.616752625E0,1.006780148E0,6.988836765E0,9.676717465E0
5.417704700E-2,6.611967087E0,9.056833982E-1,7.166503906E0,9.792708993E0
5.655517200E-2,6.605985165E0,7.387840152E-1,7.309474945E0,9.879942600E0
5.893329700E-2,6.579664230E0,6.436693072E-1,7.543373585E0,1.003039264E1
6.131142200E-2,6.550950050E0,5.126622319E-1,7.818548203E0,1.021310262E1
6.368954700E-2,6.535995007E0,4.127618968E-1,8.009973526E0,1.034646215E1
6.606767200E-2,6.490531445E0,2.967100143E-1,8.228917122E0,1.048475619E1
6.844579700E-2,6.479165554E0,2.093719840E-1,8.447860718E0,1.064846344E1
7.082392200E-2,6.471388817E0,1.633101404E-1,8.630910873E0,1.078879817E1
7.320204700E-2,6.440880299E0,9.990034252E-2,8.773283958E0,1.088418258E1
7.558022400E-2,6.402595043E0,2.751746029E-2,8.848658562E0,1.092212154E1
7.795855700E-2,6.424728870E0,-7.776673418E-3,8.915657043E0,1.098936495E1
8.033689100E-2,6.430710793E0,-4.546362907E-2,8.949156761E0,1.102014133E1
8.271522400E-2,6.441478729E0,-1.100698411E-1,8.985647202E0,1.105651931E1
8.509350500E-2,6.372086525E0,-1.543370634E-1,8.974879265E0,1.100798639E1
8.747163000E-2,6.284748554E0,-2.015953064E-1,8.955139160E0,1.094226770E1
8.984975500E-2,6.214758396E0,-2.709871531E-1,8.950951576E0,1.090028394E1
9.222788000E-2,6.101099491E0,-3.403790295E-1,8.888139725E0,1.078602339E1
9.460600500E-2,6.021538258E0,-4.061816335E-1,8.823533058E0,1.069011890E1
9.698413000E-2,5.939583778E0,-4.731806815E-1,8.711071014E0,1.055392409E1
9.936225500E-2,5.899504185E0,-5.210371017E-1,8.572885513E0,1.041969267E1
1.017403800E-1,5.879763603E0,-6.005984545E-1,8.487939835E0,1.034299092E1
1.041185050E-1,5.863013744E0,-6.179464459E-1,8.374280930E0,1.024135582E1
1.064966300E-1,5.864210129E0,-6.765705943E-1,8.306085587E0,1.019008175E1
1.088747550E-1,5.851647854E0,-7.316055298E-1,8.157132149E0,1.006557669E1
1.112528800E-1,5.840879917E0,-7.728816867E-1,8.089534760E0,1.000768689E1
1.136310050E-1,5.798407555E0,-8.075776696E-1,7.999206066E0,9.912669144E0
1.160091300E-1,5.778666496E0,-7.902296782E-1,7.957331657E0,9.865930089E0
1.183872550E-1,5.779862881E0,-7.657032609E-1,7.935796261E0,9.847333583E0
1.207653800E-1,5.811567783E0,-7.992027402E-1,7.953742504E0,9.883069611E0
1.231435050E-1,5.819942951E0,-8.309076428E-1,7.953144073E0,9.890128620E0
1.255216300E-1,5.810969830E0,-9.439685345E-1,7.995616913E0,9.929165966E0
1.278997550E-1,5.828916073E0,-1.011565804E0,8.002197266E0,9.951617408E0
