"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.488578400E-2,-3.512663603E0,-2.662015259E-1,7.570890903E0,8.350332802E0
1.726265900E-2,-3.421736479E0,-4.785645381E-2,8.018946648E0,8.718605170E0
1.963953400E-2,-3.346960783E0,1.680957973E-1,8.529216766E0,9.163947912E0
2.201640900E-2,-3.186641455E0,4.127618968E-1,9.049654961E0,9.603192753E0
2.439349300E-2,-3.092125177E0,6.209374666E-1,9.513264656E0,1.002242515E1
2.677057600E-2,-2.944966555E0,8.422735929E-1,1.000857925E1,1.046680044E1
2.914765900E-2,-2.831307411E0,1.027717352E0,1.048235798E1,1.090652710E1
3.152474300E-2,-2.732005358E0,1.228116274E0,1.092323494E1,1.132648155E1
3.390161800E-2,-2.629113913E0,1.415354609E0,1.136471081E1,1.175040937E1
3.627849300E-2,-2.507678032E0,1.577468276E0,1.175833035E1,1.212580669E1
3.865536800E-2,-2.443071842E0,1.654636860E0,1.215673542E1,1.250970180E1
4.103224300E-2,-2.325823545E0,1.627119422E0,1.272862053E1,1.304127116E1
4.340911800E-2,-2.134995937E0,1.544566989E0,1.311924839E1,1.338127696E1
4.578599300E-2,-2.186441660E0,1.444068432E0,1.378265858E1,1.402952381E1
4.816286800E-2,-2.157727718E0,1.363908887E0,1.431745434E1,1.454322987E1
5.053974300E-2,-1.947159410E0,1.307079315E0,1.452802277E1,1.471609091E1
5.291661800E-2,-1.733001828E0,1.213759303E0,1.408116341E1,1.423922996E1
5.529349300E-2,-1.581057549E0,1.132403374E0,1.334716511E1,1.348810205E1
5.767036800E-2,-1.621735573E0,1.081555843E0,1.259641647E1,1.274635231E1
6.004724300E-2,-1.779063582E0,1.068993568E0,1.188993549E1,1.206972993E1
6.242432600E-2,-2.004587173E0,9.439685345E-1,1.133958626E1,1.155403232E1
6.480140900E-2,-2.189432621E0,9.008977413E-1,1.089511967E1,1.114938853E1
