max_x,min_x,range_x,mean_x,median_x,var_x,std_x,skew_x,rms_x,mad_x,max_y,min_y,range_y,mean_y,median_y,var_y,std_y,skew_y,rms_y,mad_y,max_z,min_z,range_z,mean_z,median_z,var_z,std_z,skew_z,rms_z,mad_z,label
2.856016,-21.574036,24.430052,-9.318534,-9.44696,55.31477,7.43739,-0.01999801289528504,11.922662,6.7032657,1.9633023,-8.332842,10.2961445,-2.2085283,-1.4211822,8.507115,2.916696,-0.47859250131926184,3.6585124,2.5297139,8.883277,-3.9645658,12.847843,1.6711919,1.4707291,6.178354,2.4856296,0.7451729487013126,2.9952023,1.8806132,1
2.5632546,-26.6413,29.204556,-9.17662,-7.941121,49.666283,7.047431,-0.5644290781903334,11.570506,5.7262664,1.4807657,-9.866582,11.347347,-2.7186801,-2.1186867,7.0820503,2.6612122,-0.6774318819402787,3.8043754,2.1774933,8.216145,-3.0703402,11.286485,1.3730578,0.9681866,4.1726913,2.0427167,0.8840411642455224,2.4612963,1.5916721,1
3.8727617,-29.205093,33.077854,-9.661826,-8.432676,55.14225,7.4257827,-0.869876587943741,12.185775,5.4495635,1.8048568,-14.298117,16.102974,-2.1928296,-1.8723664,6.6876025,2.58604,-1.4625684522678692,3.3905907,1.8872918,4.7725706,-3.1279554,7.900526,0.87603366,0.6529497,2.9431293,1.7155551,0.11793194145629612,1.9262825,1.4423987,1
5.098458,-28.525206,33.623665,-9.343739,-8.472591,51.354836,7.166229,-0.5509805132292245,11.775411,5.3891916,1.6322507,-16.996735,18.628984,-2.8829155,-1.8074389,14.13837,3.7601023,-1.519181978562546,4.7380977,2.7977874,15.411636,-4.906332,20.317968,1.4767776,0.80928457,8.374498,2.8938725,2.121002148652042,3.248903,1.8950459,1
4.096082,-26.311924,30.408007,-9.289066,-8.387066,43.79236,6.6175795,-0.7476973424073181,11.405223,4.8682294,3.283063,-10.968441,14.251504,-2.424218,-1.8724413,9.411688,3.0678475,-0.6048747723929989,3.910054,2.4002001,9.679771,-2.6503735,12.330145,1.6147132,1.295017,5.0027747,2.2366884,1.0542896239272885,2.758636,1.6854144,1
2.719829,-26.64136,29.361189,-8.947293,-7.8870535,37.10954,6.09176,-0.8148926853057988,10.824214,4.5193806,2.4700885,-14.594201,17.06429,-3.7355158,-2.937454,15.6176195,3.9519134,-0.8791107601016543,5.4379864,2.995975,7.7617197,-3.3557217,11.117441,1.5930417,1.4050757,3.658099,1.9126158,0.7670037675830557,2.4891524,1.4638784,1
5.2922,-28.61059,33.90279,-9.776592,-8.226414,55.854202,7.473567,-0.6268698302425093,12.305932,5.727236,3.142535,-11.125509,14.268044,-2.9900966,-2.596366,8.534176,2.9213312,-0.6219085573541284,4.1802936,2.3333242,8.621516,-3.2102542,11.83177,1.53469,1.1563454,4.450374,2.109591,0.7650377454916003,2.6087637,1.5980798,1
4.759398,-29.417545,34.176945,-8.970742,-7.537201,59.386944,7.7062926,-0.7633110117213444,11.826291,6.028074,1.7286952,-11.821068,13.549763,-2.6135786,-2.1797671,8.2725935,2.8762116,-0.6941522012295189,3.8863077,2.31771,5.4900885,-3.5640736,9.054162,0.840145,0.8524922,2.8899467,1.6999843,0.04804586055208423,1.8962569,1.3145683,1
1.4804364,-24.398258,25.878695,-9.299144,-8.429855,32.554935,5.7056932,-0.5367742673765591,10.910042,4.489122,1.2592413,-12.809912,14.069153,-3.3241591,-2.7753263,9.037644,3.0062675,-1.0781436792365753,4.481928,2.2616093,7.962482,-3.4138608,11.376343,1.3291821,1.1472294,3.4825063,1.8661474,0.50977672945842,2.29112,1.4083825,1
4.8989677,-26.811241,31.710209,-9.291506,-8.467008,43.66294,6.607794,-0.5274689763973927,11.401535,5.074978,2.3051465,-14.098237,16.403383,-3.3568542,-2.526566,13.221292,3.6361094,-1.0608144815837632,4.9487133,2.7554786,8.490225,-2.3114183,10.801643,1.8089843,1.5181355,4.462751,2.1125224,0.7829388544280705,2.7812183,1.6200142,1
2.7364297,-24.116035,26.852465,-8.6925955,-7.62914,45.509743,6.746091,-0.6017572235108927,11.003225,5.277234,3.092045,-16.117823,19.209867,-3.491109,-2.3852823,20.87607,4.5690336,-1.0046072118184182,5.7501225,3.5611393,7.7712545,-3.5499578,11.321213,1.3599843,0.9545051,4.9046025,2.2146337,0.673802201071668,2.5988765,1.7394724,1
5.310282,-25.764273,31.074554,-9.371718,-7.938719,45.797695,6.7673993,-0.5199159166127189,11.559705,5.203259,0.90417975,-13.956378,14.860558,-3.8257864,-3.0181887,12.265845,3.5022628,-0.9411734106095482,5.186761,2.7209444,5.6329513,-4.336228,9.969179,1.194199,0.98249686,2.76198,1.6619205,0.26686010372731545,2.0464826,1.2418208,1
3.8722377,-24.733366,28.605604,-8.869847,-8.064936,38.312485,6.1897078,-0.4986563096389645,10.816038,4.568045,2.374093,-15.699353,18.073446,-3.9840672,-3.1745985,16.154972,4.019325,-1.009574373259405,5.6593075,3.0026343,11.24306,-3.6524346,14.895494,1.5381815,1.2812006,5.876995,2.4242516,1.2053675784436346,2.8710623,1.691882,1
5.949827,-26.509663,32.459488,-8.895496,-7.8178005,47.534836,6.8945513,-0.5366197718652649,11.254541,5.341134,3.3343313,-15.740967,19.075298,-3.694849,-2.9015884,14.658409,3.8286302,-0.9457806699444812,5.3207445,2.9961212,8.957717,-7.143475,16.101192,1.5885077,1.4543157,8.341127,2.888101,-0.024398092399140613,3.2961316,2.082705,1
